Index_ID,Address,City,State,Zipcode
23025,4600 Seton Center Parkway in,Austin,TX,
57870,9811 South Ih-35 in,Austin,TX,
115341,4713 Dorchester in,Austin,TX,
108518,1708 Holly Street in,Austin,TX,
112268,7302 Twin Crest Dr in,Austin,TX,
110257,4201 Monterrey Oaks Blvd in,Austin,TX,
104492,12805 Arroyo Doble Dr in,Travis,TX,
21273,11901 North Mopac in,Austin,TX,
133792,13711 Cambourne Drive in,Pflugerville,TX,
119151,1212 Vargas in,Austin,TX,
129170,12800 Harrisglenn Drive in,Austin,TX,
50016,14917 Jacks Pond Road in,Austin,TX,
81766,824 Fairfield Drive in,Austin,TX,
48365,14309 Highsmith in,Travis,TX,
58960,3505 South Lamar in,Austin,TX,
64172,7604 Lazy River Cv in,Austin,TX,
47869,15134 Sarahs Creek Dr in,Pflugerville,TX,
131640,14602 Rumfeldt St in,Travis,TX,
100179,6707 Creedmoor Drive in,Austin,TX,
72409,12302 Havelock Dr in,Austin,TX,
75176,8704 Airline Terrace in,Austin,TX,
110036,9811 Blocker Ln in,Austin,TX,
88847,1910 Wickshire in,Austin,TX,
4786,12202 N Mopac Expressway in,Austin,TX,
47035,3204 Fairfox Walks in,Austin,TX,
113219,4316 Bull Creek Rd in,Austin,TX,
48214,8913 Slayton Dr in,Austin,TX,
116277,2002 E 11Th St in,Austin,TX,
117746,3721 Ranch Rd 620 N in,Austin,TX,
64528,1703 Astor Pl in,Austin,TX,
40557,11502 January Drive in,Austin,TX,
88357,2239 S. Lamar in,Austin,TX,
22187,3101 Wells Branch in,Austin,TX,
58587,15128 Mandarin Xing in,Travis,TX,
95762,8225 Sam Rayburn Drive in,Austin,TX,
98015,11131-C Pinehurst Drive in,Austin,TX,
105135,1305 Tea Leaf Ln in,Pflugerville,TX,
118221,1221 West Ben White in,Austin,TX,
40447,3502 Needls Dr in,Austin,TX,
72931,2000 Conestoga in,Austin,TX,
108732,1200 Larkspur in,Austin,TX,
92125,6910 Colony Loop Drive in,Austin,TX,
94674,18413 Little Sky Dr in,Travis,TX,
22432,4701 S Ih 35 in,Austin,TX,
130489,1612 W. Braker Ln in,Austin,TX,
67214,3408 Autumn Bay Dr in,Austin,TX,
123996,601 E. 15Th St in,Austin,TX,
54192,1404 Cotton in,Austin,TX,
71819,16205 Hammilton Point Cir in,Manor,TX,
126576,3502 Needles Dr in,Austin,TX,
47691,8305 Burrell Dr in,Austin,TX,
61226,7808 Cottle in,Austin,TX,
42765,2508 E3 Riverside Dr in,Austin,TX,
140268,8128 N. Interstate 35 in,Austin,TX,
99538,414 E William Cannon in,Austin,TX,
103309,401 Little Texas #1634 in,Austin,TX,
36440,6011 Blue Bluff in,Travis,TX,
85125,4100 Westbank Dr in,Travis,TX,
31138,209 The Ranch Rd in Del,Valle,TX,
66014,2200 W 35Th St in,Austin,TX,
105575,813 Turtle Creek in,Austin,TX,
106525,5919 La Crosse Ave in,Austin,TX,
96024,7625 N Interstate 35 in,Austin,TX,
131322,1300 Thornridge Rd # A in,Austin,TX,
58975,11928 Rosethorn Dr in,Austin,TX,
47358,2600 Penny Lane in,Austin,TX,
128954,1411 Glencrest in,Austin,TX,
31917,4811 Santa Anna in,Austin,TX,
129444,116 Sabastians Run in,Austin,TX,
136461,2609 Willow St in,Austin,TX,
122146,720 Yarsa Blvd in,Austin,TX,
90971,13408 Briarcreek in,Manor,TX,
18439,5240 Mathra Dr in Del,Valle,TX,
30230,5702 Killingsworth in,Travis,TX,
