Index_ID,Address from CSV,If match or not,,Geo coded Address with zipcode,Longitude,Latitude,Tigerline ID Side,STATE CODE:,COUNTY CODE,TRACT CODE,BLOCK CODE
22635,"1910 West Ben White in, Austin, TX,",No_Match,,,,,,,,,
66211,"3200 French Place in, Austin, TX,",Match,Exact,"3200 FRENCH PL, AUSTIN, TX, 78722","-97.71866394599994,30.287773066000057",63946279,L,48,453,401,1022
17285,"4207 Burnet Road in, Austin, TX,",Match,Exact,"4207 BURNET RD, AUSTIN, TX, 78756","-97.74356558599999,30.31232198600003",638000964,R,48,453,204,2010
137624,"2502 Allred Dr in, Austin, TX,",Match,Exact,"2502 ALLRED DR, AUSTIN, TX, 78748","-97.82989145799996,30.174543839000023",624839992,L,48,453,1747,1017
133268,"16705 Fagerquist in, Travis, TX,",No_Match,,,,,,,,,
30260,"7109 Apperson Street in, Austin, TX,",No_Match,,,,,,,,,
23965,"3712 Clarkson Avenue in, Austin, TX,",Match,Exact,"3712 CLARKSON AVE, AUSTIN, TX, 78722","-97.71529416299995,30.29191191900003",63946243,L,48,453,401,1006
75163,"9556 Indigo Brush Drive in, Austin, TX,",Match,Exact,"9556 INDIGO BRUSH DR, AUSTIN, TX, 78726","-97.82791088499994,30.43058536700005",63992778,L,48,453,1714,1025
54233,"2101 Simbrah in, Travis, TX,",No_Match,,,,,,,,,
31596,"7Th Street And Pleasant Valley in, Austin, TX,",No_Match,,,,,,,,,
30268,"5217 E Cesar Chavez in, Austin, TX,",No_Match,,,,,,,,,
125635,"8303 Reeda Lane in, Austin, TX,",Match,Exact,"8303 REEDA LN, AUSTIN, TX, 78757","-97.72648551799995,30.36197378600008",63930050,R,48,453,1818,1018
79535,"1715 West Cesar Chavez Street in, Austin, TX,",Match,Exact,"1715 W CESAR CHAVEZ ST, AUSTIN, TX, 78703","-97.76470709699998,30.272590050000076",64017806,L,48,453,1200,2041
55568,"8200 South Congress Avenue in, Austin, TX,",No_Match,,,,,,,,,
59929,"11200 Midbury Court in, Austin, TX,",Match,Exact,"11200 MIDBURY CT, AUSTIN, TX, 78748","-97.84263306899999,30.158404904000065",64005959,R,48,453,1774,2006
93826,"15061 Haley Holw in, Austin, TX,",Match,Exact,"15061 HALEY HOLLOW, AUSTIN, TX, 78728","-97.68254837199999,30.45064519300007",63991857,R,48,453,1853,1008
3635,"11900 Garden Grove Drive in, Travis, TX,",No_Match,,,,,,,,,
42235,"1204 Fairbanks Drive in, Austin, TX,",Match,Exact,"1204 FAIRBANKS DR, AUSTIN, TX, 78752","-97.69294510399999,30.329288441000074",63932693,L,48,453,1812,2002
68889,"6411 Garden View in, Austin, TX,",Match,Non_Exact,"6411 GARDEN VIEW DR, AUSTIN, TX, 78724","-97.65846878999997,30.289665528000057",63969366,R,48,453,2208,1008
138963,"2503 Del Curto Road in, Austin, TX,",Match,Non_Exact,"2503 DEL CURTO RD, AUSTIN, TX, 78704","-97.77626731099997,30.244938584000067",64015855,L,48,453,1304,1004
100352,"1212 Ben White Blvd in, Austin, TX,",No_Match,,,,,,,,,
112310,"2903 E 3Rd in, Austin, TX,",No_Match,,,,,,,,,
4982,"13812 Bois D Arc Ln in, Manor, TX,",Match,Non_Exact,"13812 BOIS D ARC RD, MANOR, TX, 78653","-97.51188162199998,30.360511119000023",64024263,L,48,453,1854,2047
47928,"5355 Ih 35 in, Austin, TX,",No_Match,,,,,,,,,
80503,"2111 Prather in, Austin, TX,",Match,Non_Exact,"2111 PRATHER LN, AUSTIN, TX, 78704","-97.78712530699994,30.23435805400004",63943651,L,48,453,2004,2000
75178,"6918 Cherrydale Drive in, Austin, TX,",Match,Exact,"6918 CHERRYDALE DR, AUSTIN, TX, 78745","-97.80405004999994,30.201115220000077",63940437,R,48,453,1728,4006
60912,"15300 Sweet Mimosa in, Travis, TX,",No_Match,,,,,,,,,
96092,"1600 Man O War in, Travis, TX,",No_Match,,,,,,,,,
81841,"23Rd And Rio Grande in, Austin, TX,",No_Match,,,,,,,,,
31585,"2950 Caldwell in, Travis, TX,",No_Match,,,,,,,,,
35941,"5543 Kleberg Trail in, Austin, TX,",Match,Exact,"5543 KLEBERG TRL, AUSTIN, TX, 78747","-97.76967986099999,30.141935180000075",635101121,R,48,453,2428,2026
55578,"7601 Daffan in, Travis, TX,",No_Match,,,,,,,,,
133283,"10601 Menchaca Road in, Austin, TX,",No_Match,,,,,,,,,
79529,"104 Jalisco Court in, Travis, TX,",No_Match,,,,,,,,,
54249,"6625 Mckinney Falls in, Austin, TX,",Match,Non_Exact,"6625 MCKINNEY FALLS PKWY, AUSTIN, TX, 78744","-97.72633431299994,30.16236139800003",649002189,R,48,453,2432,1009
29271,"609 Clayton Lane in, Austin, TX,",Match,Exact,"609 CLAYTON LN, AUSTIN, TX, 78752","-97.71436851799996,30.324029601000063",648999873,R,48,453,1503,4019
100349,"10007 Brownie Dr in, Austin, TX,",Match,Exact,"10007 BROWNIE DR, AUSTIN, TX, 78753","-97.68591666399999,30.365248784000073",63934247,R,48,453,1823,3001
34614,"1021 E 43Rd St in, Austin, TX,",Tie,,,,,,,,,
133282,"211 Comal St in, Austin, TX,",Match,Exact,"211 COMAL ST, AUSTIN, TX, 78702","-97.72816633699995,30.259577395000065",63947143,R,48,453,902,4049
112304,"14608 Pearce Ln in, Austin, TX,",No_Match,,,,,,,,,
112303,"12402 Treeline Drive in, Austin, TX,",Match,Non_Exact,"12402 TREE LINE DR, AUSTIN, TX, 78729","-97.77556433099994,30.44790577200007",126446037,L,48,491,20406,1008
3660,"6303 Moondgow Dr in, Austin, TX,",No_Match,,,,,,,,,
92522,"8400 Finial Drive in, Travis, TX,",No_Match,,,,,,,,,
108289,"2508 West Riverside in, Austin, TX,",No_Match,,,,,,,,,
114963,"8410 Annabelle Dr in, Austin, TX,",No_Match,,,,,,,,,
17261,"5807 Seattle Slew in, Austin, TX,",No_Match,,,,,,,,,
43558,"18114 River Timber Drive in, Travis, TX,",No_Match,,,,,,,,,
125615,"6400 Cottonmouth School Road in, Austin, TX,",Match,Exact,"6400 COTTONMOUTH SCHOOL RD, AUSTIN, TX, 78744","-97.70317159099994,30.16957300300004",629674608,R,48,453,2432,1010
78221,"2704 Bobby Lane in, Austin, TX,",Match,Exact,"2704 BOBBY LN, AUSTIN, TX, 78745","-97.82737315299994,30.19041852600003",63965550,L,48,453,1746,2001
99152,"2208 Elara Dr in, Austin, TX,",Match,Exact,"2208 ELARA DR, AUSTIN, TX, 78725","-97.63735404299996,30.215667163000035",635282233,R,48,453,2207,2049
121253,"308 East Powell Lane in, Austin, TX,",No_Match,,,,,,,,,
31570,"1116 Saucedo in, Austin, TX,",Match,Non_Exact,"1116 SAUCEDO ST, AUSTIN, TX, 78721","-97.68984795699998,30.266599778000057",63951631,L,48,453,2111,1009
121256,"9007 W Pointer Ln in, Austin, TX,",Match,Exact,"9007 POINTER LN, AUSTIN, TX, 78758","-97.71444000299994,30.36634201800007",63930494,R,48,453,1820,3018
30242,"9300 North Ih 35 in, Austin, TX,",No_Match,,,,,,,,,
133294,"1618 Parmer Lane in, Austin, TX,",Match,Non_Exact,"1618 W PARMER LN, AUSTIN, TX, 78727","-97.68725380299998,30.41171643200005",641676411,R,48,453,1848,2001
102972,"6600 Highpoint Drive in, Austin, TX,",Match,Exact,"6600 HIGHPOINT DR, AUSTIN, TX, 78723","-97.66533653899995,30.307099222000033",63951778,L,48,453,2108,2003
72909,"4009 Avenue B in, Austin, TX,",Match,Exact,"4009 AVE B, AUSTIN, TX, 78751","-97.73459786499996,30.304533682000056",63945514,R,48,453,302,2002
