Index_ID,Address from CSV,If match or not,,Geo coded Address with zipcode,Longitude,Latitude,Tigerline ID Side,STATE CODE:,COUNTY CODE,TRACT CODE,BLOCK CODE
67547,"1402 Meadowmear Dr in, Austin, TX,",Match,Exact,"1402 MEADOWMEAR DR, AUSTIN, TX, 78753","-97.67202773499997,30.359668492000026",63934759,L,48,453,1833,3022
100341,"18325 Great Valley in, Manor, TX,",Match,Non_Exact,"18325 GREAT VALLEY DR, MANOR, TX, 78653","-97.52782714099999,30.32433994300004",64104413,R,48,453,2209,2008
121283,"4802 Flicker Cove in, Austin, TX,",Match,Exact,"4802 FLICKER COVE, AUSTIN, TX, 78744","-97.74751913299997,30.185927909000043",63950180,L,48,453,2412,2009
67548,"3500 Greystone in, Austin, TX,",Match,Non_Exact,"3500 GREYSTONE DR, AUSTIN, TX, 78731","-97.74883973199996,30.35775148500005",63929027,R,48,453,1752,2008
137629,"2102 Lamplight Village in, Austin, TX,",Match,Non_Exact,"2102 LAMPLIGHT VILLAGE CIR, AUSTIN, TX, 78727","-97.69552649399998,30.41671638400004",63927153,R,48,453,1848,1015
126965,"4707 Pimlico Drive in, Travis, TX,",No_Match,,,,,,,,,
79534,"1600 Canterbury Street in, Austin, TX,",Match,Exact,"1600 CANTERBURY ST, AUSTIN, TX, 78702","-97.72933461099996,30.256649800000048",63948352,L,48,453,1000,2005
138961,"814 East Rundberg in, Austin, TX,",Match,Non_Exact,"814 E RUNDBERG LN, AUSTIN, TX, 78753","-97.68690497499995,30.357701149000036",63934651,L,48,453,1833,3005
137630,"1104 Justin Ln in, Austin, TX,",Match,Exact,"1104 JUSTIN LN, AUSTIN, TX, 78757","-97.72241982599996,30.338222775000077",63931288,R,48,453,1504,2011
137637,"6901 Frontera in, Austin, TX,",Match,Non_Exact,"6901 FRONTERA LN, AUSTIN, TX, 78741","-97.69296937599995,30.228638094000075",625851396,R,48,453,2312,2016
63195,"1501 Canon Yeomans Trl in, Austin, TX,",Match,Exact,"1501 CANON YEOMANS TRL, AUSTIN, TX, 78748","-97.82908467599998,30.157085995000045",63994694,L,48,453,1772,2002
113646,"12118 Grey Fawn Path in, Austin, TX,",Match,Exact,"12118 GREY FAWN PATH, AUSTIN, TX, 78750","-97.81125955899995,30.457278492000057",126431322,L,48,491,20404,1013
21312,"3103 Yellowpine Terrace in, Austin, TX,",Match,Exact,"3103 YELLOWPINE TER, AUSTIN, TX, 78757","-97.74181563899998,30.355133826000042",63929106,L,48,453,1501,3005
44897,"107 E Brenham St in, Manor, TX,",Match,Non_Exact,"107 W BRENHAM ST, MANOR, TX, 78653","-97.55990050699995,30.337919429000067",63935864,L,48,453,2212,1010
66226,"1773 West Wells Branch in, Austin, TX,",No_Match,,,,,,,,,
43562,"5408 Westminister in, Austin, TX,",Match,Non_Exact,"5408 WESTMINSTER DR, AUSTIN, TX, 78723","-97.68945588299994,30.306265960000076",63947563,L,48,453,2106,3003
138964,"7200 Cameron in, Austin, TX,",Match,Non_Exact,"7200 CAMERON RD, AUSTIN, TX, 78752","-97.69233060099998,30.32618793200004",63932703,L,48,453,1812,2003
133279,"2400 East 6Th Street in, Austin, TX,",Match,Exact,"2400 E 6TH ST, AUSTIN, TX, 78702","-97.71643041299996,30.25957081300004",63947298,L,48,453,902,2005
17293,"11149 Research Blvd in, Austin, TX,",No_Match,,,,,,,,,
31580,"2600 Highland Haven Drive in, Austin, TX,",Match,Exact,"2600 HIGHLAND HAVEN DR, AUSTIN, TX, 78725","-97.66925336899999,30.260080001000063",640858682,L,48,453,2111,3021
54240,"915 W Ben White in, Austin, TX,",No_Match,,,,,,,,,
43568,"2001 Blue Meadow Dr in, Austin, TX,",Match,Exact,"2001 BLUE MEADOW DR, AUSTIN, TX, 78744","-97.76629029699995,30.182619892000048",63949715,R,48,453,2427,3015
96097,"5409 Spring Meadow in, Austin, TX,",Match,Non_Exact,"5409 SPRING MEADOW RD, AUSTIN, TX, 78744","-97.73454484399997,30.19572929800006",63950642,R,48,453,2431,1033
125626,"2201 Willow Creek Apt 338 in, Austin, TX,",Match,Non_Exact,"2201 WILLOW CREEK DR, AUSTIN, TX, 78741","-97.73029113699994,30.23083315100007",650111169,L,48,453,2316,2003
2317,"505 West 7Th Street in, Austin, TX,",Match,Exact,"505 W 7TH ST, AUSTIN, TX, 78701","-97.74712770099995,30.270288657000037",63943355,L,48,453,1100,1038
0,"2501 Magin Meadow Dr in, Austin, TX,",Match,Exact,"2501 MAGIN MEADOW DR, AUSTIN, TX, 78744","-97.76080655199996,30.17950693000006",641270659,R,48,453,2427,2010
126957,"2415 West Pecan Street in, Pflugerville, TX,",Match,Exact,"2415 W PECAN ST, PFLUGERVILLE, TX, 78660","-97.64977608799995,30.446003271000052",64007948,L,48,453,1840,3002
121268,"1620 Bush Coat Lane in, Austin, TX,",Match,Exact,"1620 BUSH COAT LN, AUSTIN, TX, 78754","-97.65615201399999,30.37584546200003",64108862,L,48,453,1834,2024
75171,"6603 N Ih35 in, Austin, TX,",No_Match,,,,,,,,,
76496,"2043 South Lamar in, Austin, TX,",Match,Non_Exact,"2043 S LAMAR BLVD, AUSTIN, TX, 78704","-97.76882542999994,30.24878121000006",63943860,L,48,453,1304,4005
10660,"5800 Lydian Drive in, Austin, TX,",No_Match,,,,,,,,,
93815,"1625 And 183 in, Austin, TX,",No_Match,,,,,,,,,
11995,"13906 Sleepy Hollow Rd in, Travis, TX,",No_Match,,,,,,,,,
87144,"2101 Elysian in, Austin, TX,",Match,Non_Exact,"2101 ELYSIAN FIELDS, AUSTIN, TX, 78727","-97.69131528799994,30.424595829000054",63927127,L,48,453,1847,1017
34617,"2509 Wheless in, Austin, TX,",Match,Non_Exact,"2509 WHELESS LN, AUSTIN, TX, 78723","-97.68237395099999,30.30993178600005",63951200,R,48,453,2112,3010
3648,"12707 N Mopac Expwy in, Austin, TX,",No_Match,,,,,,,,,
17266,"20500 Quiet Oaks Lane in, Manor, TX,",Match,Exact,"20500 QUIET OAKS LN, MANOR, TX, 78653","-97.49274875999998,30.29678123900004",64019527,L,48,453,2210,2000
113635,"5209 N Imperial Dr in, Travis, TX,",No_Match,,,,,,,,,
66232,"13309 North Interstate Highway in, Austin, TX,",No_Match,,,,,,,,,
138976,"22208 Shotts Dr in, Travis, TX,",No_Match,,,,,,,,,
137643,"1700 Montopolis Drive in, Austin, TX,",Match,Exact,"1700 MONTOPOLIS DR, AUSTIN, TX, 78741","-97.70198589199998,30.227229599000054",63949287,R,48,453,2318,2012
17263,"6407 Hickman Avenue in, Austin, TX,",Match,Exact,"6407 HICKMAN AVE, AUSTIN, TX, 78723","-97.68937079399996,30.31692242300005",63934909,R,48,453,2112,1006
108283,"13907 Hymill Drive in, Travis, TX,",No_Match,,,,,,,,,
121261,"6501 Brush Country in, Austin, TX,",Match,Non_Exact,"6501 BRUSH COUNTRY RD, AUSTIN, TX, 78749","-97.84157824399995,30.223541862000047",641662286,L,48,453,1749,4011
60927,"9715 Norht Fm 620 in, Austin, TX,",No_Match,,,,,,,,,
22610,"5600 Decker Lane in, Travis, TX,",No_Match,,,,,,,,,
78220,"9401 North Interstae Highway 35 in, Austin, TX,",No_Match,,,,,,,,,
80542,"11009 Midbury Court in, Austin, TX,",Match,Exact,"11009 MIDBURY CT, AUSTIN, TX, 78748","-97.84339568099995,30.159345861000077",64006755,R,48,453,1774,2000
54255,"8901 Tronewood Dr in, Austin, TX,",Match,Exact,"8901 TRONEWOOD DR, AUSTIN, TX, 78758","-97.71144470999997,30.36291955300004",63930522,R,48,453,1820,3025
55585,"4808 Pewter Ln in, Austin, TX,",Match,Exact,"4808 PEWTER LN, AUSTIN, TX, 78744","-97.74032667699998,30.199862590000066",63950617,R,48,453,2413,1000
80541,"6933 Felipe Drive in, Austin, TX,",Match,Exact,"6933 FELIPE DR, AUSTIN, TX, 78747","-97.73709485099994,30.153274533000058",64006715,R,48,453,2426,1057
11968,"9601 Carson Creek Blvd in, Austin, TX,",No_Match,,,,,,,,,
31576,"14321 South Turnersville Road in, Travis, TX,",No_Match,,,,,,,,,
125614,"3205 Barksdale in, Austin, TX,",Match,Non_Exact,"3205 BARKSDALE DR, AUSTIN, TX, 78725","-97.59317036599998,30.23166969700003",635067267,L,48,453,2207,2025
