Index_ID,Address from CSV,If match or not,,Geo coded Address with zipcode,Longitude,Latitude,Tigerline ID Side,STATE CODE:,COUNTY CODE,TRACT CODE,BLOCK CODE
46603,"7601 Daffan Lane in, Austin, TX,",Match,Exact,"7601 DAFFAN LN, AUSTIN, TX, 78724","-97.62346279999997,30.31676538000005",64123381,R,48,453,2221,1012
138959,"1611 Quail Run in, Pflugerville, TX,",Match,Non_Exact,"1611 QUAIL RUN RD, PFLUGERVILLE, TX, 78660","-97.61056300899997,30.424783972000057",63933864,L,48,453,44800,1016
138957,"7014 Elroy Rd in Del, Valle, TX,",No_Match,,,,,,,,,
99132,"8437 Twiggy Ln in, Austin, TX,",Match,Exact,"8437 TWIGGY LN, AUSTIN, TX, 78747","-97.74816166699998,30.15701737200004",624864385,L,48,453,2440,2001
23963,"12600 Campana Dr in, Austin, TX,",No_Match,,,,,,,,,
60911,"12315 Rayden St. in, Travis, TX,",No_Match,,,,,,,,,
55564,"7715 Hidden View Cir in, Austin, TX,",Match,Exact,"7715 HIDDEN VIEW CIR, AUSTIN, TX, 78724","-97.64072590299998,30.28564398900005",64018141,R,48,453,2213,2008
124307,"12613 Belcara Place in, Austin, TX,",Match,Exact,"12613 BELCARA PL, AUSTIN, TX, 78732","-97.91142551699994,30.348192992000065",624860394,R,48,453,35100,1013
10659,"1773 Wells Branch Pkwy in, Austin, TX,",Match,Exact,"1773 WELLS BRANCH PKWY, AUSTIN, TX, 78728","-97.67406496999996,30.436432813000067",641658793,L,48,453,42900,2003
100331,"1200 Vargas in, Austin, TX,",Match,Non_Exact,"1200 VARGAS RD, AUSTIN, TX, 78741","-97.69629329299994,30.230576582000026",63949294,R,48,453,2321,1011
113661,"8403 Cedar Elm in, Austin, TX,",Match,Non_Exact,"8403 CEDAR ELM TRL, AUSTIN, TX, 78735","-97.88546295999998,30.250996220000047",635282310,R,48,453,1920,3018
88488,"12900 No. I-35 Svc Rd Sb in, Austin, TX,",No_Match,,,,,,,,,
133270,"2330 E 2Nd in, Austin, TX,",No_Match,,,,,,,,,
93828,"2901 South Capital Of Texas Highway in, Austin, TX,",Match,Exact,"2901 S CAPITAL OF TEXAS HWY, AUSTIN, TX, 78746","-97.81052669199994,30.256027154000037",641806113,L,48,453,1910,3016
72901,"9312 Sprinkle Rd in, Travis, TX,",No_Match,,,,,,,,,
23978,"5212 Avenue H in, Austin, TX,",Match,Exact,"5212 AVE H, AUSTIN, TX, 78751","-97.71998915799998,30.31597247600007",63931825,L,48,453,305,1003
63198,"6012 Wagon Bend in, Austin, TX,",Match,Non_Exact,"6012 WAGON BEND TRL, AUSTIN, TX, 78744","-97.76009676799998,30.193214445000024",63949838,R,48,453,2412,3009
66221,"2309 Berkeley Ave in, Austin, TX,",Match,Exact,"2309 BERKELEY AVE, AUSTIN, TX, 78745","-97.80637644999996,30.20960664200004",63938989,L,48,453,30400,1013
136302,"6910 Colony Loop in, Austin, TX,",Match,Non_Exact,"6910 COLONY LOOP DR, AUSTIN, TX, 78724","-97.64003976099997,30.30037202300008",63951923,L,48,453,2222,1013
42232,"111 Hergolz Ln in, Austin, TX,",No_Match,,,,,,,,,
121272,"10234 Research in, Austin, TX,",Match,Non_Exact,"10234 RESEARCH BLVD, AUSTIN, TX, 78759","-97.74680936399994,30.395197667000048",637873890,L,48,453,30800,2005
99125,"6504 Santos St in, Austin, TX,",Match,Exact,"6504 SANTOS ST, AUSTIN, TX, 78741","-97.69938570699998,30.227996079000036",63949273,L,48,453,2321,1012
66228,"2121 Dickson Dr in, Austin, TX,",Match,Exact,"2121 DICKSON DR, AUSTIN, TX, 78704","-97.78037700899995,30.245738243000062",63943671,L,48,453,1923,2016
47927,"4532 Clawson Rd. in, Austin, TX,",Match,Exact,"4532 CLAWSON RD, AUSTIN, TX, 78745","-97.78691734099999,30.22403040100005",63944031,R,48,453,2002,1009
30255,"6312 El Mirando St in, Austin, TX,",No_Match,,,,,,,,,
54243,"6100 Kasper in, Austin, TX,",Match,Non_Exact,"6100 KASPER ST, AUSTIN, TX, 78741","-97.70562336299997,30.226990098000044",63949245,L,48,453,2325,2002
30251,"4632 Mont Blanc Dr in, Travis, TX,",No_Match,,,,,,,,,
7,"415 East Mary Street in, Austin, TX,",No_Match,,,,,,,,,
4975,"5811 Whitebrook Dr. in, Austin, TX,",Match,Exact,"5811 WHITEBROOK DR, AUSTIN, TX, 78724","-97.65443490499996,30.305313261000038",63951793,R,48,453,2201,2009
133286,"4743 Castleman Dr in, Travis, TX,",No_Match,,,,,,,,,
126959,"15508 Sarah'S Creek in, Pflugerville, TX,",Match,Non_Exact,"15508 SARAH'S CREEK DR, PFLUGERVILLE, TX, 78660","-97.65749393499999,30.44648010700007",64005033,R,48,453,44100,1003
43555,"212 & Doorbell Dr in, Travis, TX,",No_Match,,,,,,,,,
17269,"1605 E 38Th 1/2 St in, Austin, TX,",Match,Non_Exact,"1605 E 38TH 1/2 ST, AUSTIN, TX, 78722","-97.71438800299995,30.292162648000044",63947407,R,48,453,401,1008
17262,"200 W 4Th St in, Austin, TX,",Tie,,,,,,,,,
18594,"2101 Jesse E Segovia St in, Austin, TX,",Match,Exact,"2101 JESSE E SEGOVIA ST, AUSTIN, TX, 78702","-97.72479543099996,30.249884690000044",63948596,R,48,453,1000,4004
87170,"2106 E Stassney in, Austin, TX,",No_Match,,,,,,,,,
138974,"4529 Hwy 71 in, Austin, TX,",No_Match,,,,,,,,,
42221,"3438 Jfk in, Travis, TX,",No_Match,,,,,,,,,
137645,"904 E Monroe St in, Austin, TX,",Tie,,,,,,,,,
81867,"904 Fieldwood Dr#B in, Austin, TX,",No_Match,,,,,,,,,
42226,"8837 N Plaza in, Austin, TX,",No_Match,,,,,,,,,
54250,"11605 Buckingham Rd in, Austin, TX,",Match,Exact,"11605 BUCKINGHAM RD, AUSTIN, TX, 78759","-97.77282483899995,30.428082346000053",63925878,R,48,453,32700,1019
59944,"2109 Callingwood Dr in, Austin, TX,",Match,Exact,"2109 CALLINGWOOD DR, AUSTIN, TX, 78754","-97.64973411899996,30.373831626000026",624799137,L,48,453,43500,2005
79555,"9700 E Riverside Dr in, Austin, TX,",No_Match,,,,,,,,,
60930,"514 Montopolis in, Austin, TX,",Match,Non_Exact,"514 MONTOPOLIS DR, AUSTIN, TX, 78741","-97.69373543199998,30.240148057000056",63949128,R,48,453,2327,1002
29248,"5201 Ross Rd in Del, Valle, TX,",No_Match,,,,,,,,,
10638,"6400 Kennelworth Dr in, Austin, TX,",Match,Non_Exact,"6400 KENILWORTH DR, AUSTIN, TX, 78723","-97.68702039599998,30.315704006000033",63934942,L,48,453,2112,1008
54256,"11507 Maha Loop in, Austin, TX,",Match,Non_Exact,"11507 MAHA LOOP RD, AUSTIN, TX, 78719","-97.68032619499996,30.09359891400004",627308248,R,48,453,2436,1043
113640,"10248 Old Lockhart Rd in, Austin, TX,",No_Match,,,,,,,,,
93848,"14100 Thermal Dr in, Austin, TX,",Match,Exact,"14100 THERMAL DR, AUSTIN, TX, 78728","-97.67635970199996,30.433229805000053",641658611,L,48,453,42900,2012
58617,"9909 North Lamar in, Austin, TX,",Match,Non_Exact,"9909 N LAMAR BLVD, AUSTIN, TX, 78753","-97.69397215499998,30.368442323000068",63930810,R,48,453,41000,2005
72904,"11098 Fitzhugh Rd in, Austin, TX,",Match,Exact,"11098 FITZHUGH RD, AUSTIN, TX, 78736","-97.96185534699998,30.225803804000066",642148278,L,48,453,36600,1014
58619,"6207 Wier Hills Rd in, Austin, TX,",Match,Exact,"6207 WIER HILLS RD, AUSTIN, TX, 78735","-97.88147061399997,30.249484238000036",649002155,L,48,453,1920,2006
47900,"1938 Holly Hill Street in, Austin, TX,",Match,Non_Exact,"1938 HOLLY HILL DR, AUSTIN, TX, 78746","-97.79901633699996,30.26039854700008",63938423,R,48,453,1910,3009
22625,"3801 Speedway in, Austin, TX,",Match,Exact,"3801 SPEEDWAY, AUSTIN, TX, 78751","-97.73350334499997,30.30059056300007",63945558,R,48,453,302,3024
67573,"5603 Hollow Blance Court in, Austin, TX,",No_Match,,,,,,,,,
87160,"11129 Seay St in, Travis, TX,",No_Match,,,,,,,,,
102990,"3005 South Lamar in, Austin, TX,",Match,Non_Exact,"3005 S LAMAR BLVD, AUSTIN, TX, 78704","-97.78275486199999,30.24335112400007",616094025,L,48,453,2004,2000
93842,"6403 Woodhue in, Austin, TX,",Match,Non_Exact,"6403 WOODHUE DR, AUSTIN, TX, 78745","-97.79625381999995,30.204314729000032",63940476,L,48,453,2409,3006
17272,"1707 Aggie Ln in, Austin, TX,",Match,Exact,"1707 AGGIE LN, AUSTIN, TX, 78757","-97.72654101199998,30.347858876000032",63931224,L,48,453,1504,3021
108290,"4803 Flicker Cv in, Austin, TX,",Match,Exact,"4803 FLICKER COVE, AUSTIN, TX, 78744","-97.74751686799999,30.18591821700005",63950180,R,48,453,2412,2008
38192,"601 E St Johns in, Austin, TX,",No_Match,,,,,,,,,
38193,"2215 Post Rd in, Austin, TX,",No_Match,,,,,,,,,
60934,"8401 Colony Loop Dr in, Austin, TX,",Match,Exact,"8401 COLONY LOOP DR, AUSTIN, TX, 78724","-97.62763070399996,30.29535013700007",63952302,R,48,453,2222,2006
55596,"2100 Barton Springs Rd in, Austin, TX,",No_Match,,,,,,,,,
121246,"15600 Lariat Trl in, Travis, TX,",No_Match,,,,,,,,,
78213,"8204 Colony Loop in, Austin, TX,",Match,Non_Exact,"8204 COLONY LOOP DR, AUSTIN, TX, 78724","-97.62861351199996,30.297229853000033",63952300,L,48,453,2222,2004
81865,"23500 Windy Valley in, Leander, TX,",Match,Non_Exact,"23500 WINDY VALLEY RD, LEANDER, TX, 78641","-97.95825957799997,30.577819490000024",64084805,R,48,453,35900,2026
54264,"8300 Blk Colony Loop in, Austin, TX,",Match,Non_Exact,"8300 COLONY LOOP DR, AUSTIN, TX, 78724","-97.62801411499998,30.296104455000034",63952300,L,48,453,2222,2004
59950,"7800 Northcrest #102 in, Austin, TX,",Match,Non_Exact,"7800 NORTHCREST BLVD, AUSTIN, TX, 78752","-97.70648461999997,30.342416961000026",63982455,L,48,453,40000,2011
2333,"7598 Chevy Chase Dr in, Austin, TX,",Match,Exact,"7598 CHEVY CHASE DR, AUSTIN, TX, 78752","-97.70457649799994,30.339922218000027",64022155,L,48,453,40000,1003
102983,"2601 Hoeke Lane in, Austin, TX,",Match,Exact,"2601 HOEKE LN, AUSTIN, TX, 78744","-97.68867858999994,30.21392718900006",64015150,L,48,453,2448,1020
78218,"609 Kawanee Dr in, Austin, TX,",Match,Non_Exact,"609 KAWNEE DR, AUSTIN, TX, 78752","-97.71545278099995,30.33661395200005",63931323,L,48,453,1503,2000
11970,"7201 Woodhollow Dr in, Austin, TX,",Match,Non_Exact,"7201 WOOD HOLLOW DR, AUSTIN, TX, 78731","-97.75128599199996,30.356408826000063",64023756,R,48,453,32300,1000
67586,"7006 Bronco Ct in, Travis, TX,",No_Match,,,,,,,,,
18572,"4312 Speedway Ave in, Austin, TX,",Match,Non_Exact,"4312 SPEEDWAY, AUSTIN, TX, 78751","-97.72970515499998,30.306639116000042",63945532,L,48,453,302,4007
135886,"12511 Fm 1625 in, Travis, TX,",No_Match,,,,,,,,,
80559,"904 Fieldwood Dr#A in, Austin, TX,",No_Match,,,,,,,,,
