Index_ID,Address,City,State,Zipcode
77159,1550 Royal Crest Dr in,Austin,TX,
7320,10401 North Lamar in,Austin,TX,
52253,6810 Willamette Drive in,Austin,TX,
129048,443 Mesa Drive in Del,Valle,TX,
6930,1400 Dominique Drive in,Austin,TX,
62579,739 West William Cannon Drive in,Austin,TX,
47769,15033 Donna Jane Loop in,Pflugerville,TX,
116548,912 Cherico Street in,Austin,TX,
57247,928 East 54Th in,Austin,TX,
127780,2307 D Rachael Court in,Austin,TX,
85655,15202 Pocmont Trail in,Austin,TX,
130727,4821 East River Drive in,Austin,TX,
45872,6900 Wentworth Dr in,Austin,TX,
9975,8005 Brockman in,Austin,TX,
128113,1211 East 52Nd Street in,Austin,TX,
10884,9201 Circuits Of America in,Austin,TX,
2071,12251 Running Bird Ln in,Austin,TX,
24647,1701 Brazos St in,Austin,TX,
24223,9010 Norht Ih-35 in,Austin,TX,
124354,7404 Wildcat Pass in,Austin,TX,
35062,1631 E 2Nd St in,Austin,TX,
10046,3402 Neal St in,Austin,TX,
123590,1708 Garden in,Austin,TX,
118670,11906 Bronco Circle in,Austin,TX,
120282,13119 Dessau Rd in,Austin,TX,
96873,5134 East Highway 71 in,Travis,TX,
59742,183 And Lakecreek in,Austin,TX,
34530,6300 South Congress in,Austin,TX,
63852,6815 Montana Street in,Austin,TX,
136487,2301 East St Elmo Road in,Austin,TX,
83009,8304 Decker Lane in,Travis,TX,
5268,20409 Crooked Stick in,Pflugerville,TX,
49114,8314 West Highway 71 in,Austin,TX,
96717,9400 Petrichor in,Manor,TX,
117495,2000 S Ih 35 in,Austin,TX,
71816,18208 Great Falls Dr in,Manor,TX,
93910,7610 Cameron in,Austin,TX,
61167,6117 Ponca Street in,Austin,TX,
54408,5209 Coppermead Lane in,Austin,TX,
56592,2425 Ashdale Drive in,Austin,TX,
83467,3456 North Hills Drive in,Austin,TX,
50805,500 East 7Th Street in,Austin,TX,
50822,12424 Research in,Austin,TX,
75778,10000 Research Boulevard in,Austin,TX,
120542,1720 Bunche Road in,Austin,TX,
136967,14420 Bois D Arc in,Manor,TX,
125546,5319 Presidio Road in,Austin,TX,
12961,13512 Fm 812 in,Austin,TX,
10863,400 Las Lomas Drive in West Lake,Hills,TX,
112683,511 East 46Th Street in,Austin,TX,
104859,8027 Birmingham Drive in,Austin,TX,
104196,1617 North Interstate 35 Frontage Road in,Austin,TX,
87424,7109 South Brook Dr in,Austin,TX,
32920,1209 East 52Nd Street in,Austin,TX,
132585,10560 Bilbrook Place in,Austin,TX,
94736,12336 N Mopac Blvd in,Austin,TX,
44918,5701 Mopac Expressway in,Austin,TX,
62360,5804 Jacqueline in,Travis,TX,
99342,2100 Citation Drive in Del,Valle,TX,
33975,10507 Little Pebble Dr Unit A in,Austin,TX,
16546,15708 Opal Fire Dr in,Austin,TX,
4143,12707 Pond Woods Road in,Austin,TX,
130169,815 Christopher Street in,Austin,TX,
56032,4403 Scottsdale Rd in,Austin,TX,
35208,5001 Crainway Dr in,Austin,TX,
50439,8906 Briardale Drive in,Austin,TX,
