Index_ID,Address,City,State,Zipcode
112273,2804 Zeke Bnd in,Austin,TX,
34309,10430 Fm 812 in,Austin,TX,
66357,5202 Bogey Court in,Austin,TX,
67338,1106 Reinli in,Austin,TX,
69640,2201 Lakeway in,Austin,TX,
61314,5604 Cameron in,Austin,TX,
11327,12012 Reedsport Trail in,Manor,TX,
112128,14109 Fm 969 in,Austin,TX,
82212,8404 Hindon Lane in,Austin,TX,
132811,7000 Onion Creek Dr in,Austin,TX,
57956,10233 Beard Ave in,Austin,TX,
139564,6211 Manor Road in,Austin,TX,
85156,1735 Rutland in,Austin,TX,
47977,7300 Fm 2222 in,Austin,TX,
24975,21005 Colemanbranch Creek Road in,Travis,TX,
27498,8208 Sam Rayburn in,Austin,TX,
92049,20706 East Colorado Drive in,Travis,TX,
106867,38Th Street in,Austin,TX,
84354,919 E 32Nd in,Austin,TX,
104431,1211 E Oltorf St in,Austin,TX,
74013,9803 Vikki Terrace in,Austin,TX,
113026,9503 Quail Court in,Austin,TX,
7887,2730 East Street Elmo Road in,Austin,TX,
91066,7813 West Rim Drive in,Austin,TX,
39461,8005 Two Coves Dr in,Austin,TX,
55970,2301 Wirtz Avenue in,Austin,TX,
71136,14301 Vandeve Street in,Austin,TX,
42505,10100 N Capital Of Tx Hwy #204 in,Austin,TX,
94178,12408 Dessau Road in,Austin,TX,
69185,12009 Swearingen Drive in,Austin,TX,
109124,6660 Elm Creek in,Austin,TX,
129686,11530 Manchaca Rd in,Travis,TX,
142789,2100 Jesse East Segovia Street in,Austin,TX,
37800,7414 Johnny Morris Road in,Austin,TX,
54114,2453 Bastrop Highway in,Travis,TX,
64950,7216 North Interstate Highway 35 in,Austin,TX,
38793,11826 Appaloosa Chase Drive in,Austin,TX,
8615,1700 Blake Street in,Austin,TX,
63732,15811 Giese Ln in,Manor,TX,
55739,290 And Cameron Road in,Austin,TX,
86315,15730 North Fm 620 in,Austin,TX,
34558,911 Brass Street in,Austin,TX,
104886,3626 N 620 Road in,Travis,TX,
61883,3009 Meldrum Rd in,Austin,TX,
52691,5212 Mathra Drive in,Travis,TX,
31157,8113 Ganttcrest Drive in,Austin,TX,
92446,4201 N Redondo St in,Austin,TX,
11007,6409 Sunstrip in,Austin,TX,
114551,7900 Fm 969 in,Austin,TX,
12606,1702 Parkside Lane in,Austin,TX,
102694,6105 Magnus Street in,Austin,TX,
44599,2904 Cohoba Drive in,Austin,TX,
17903,10000 David Moore Drive in,Austin,TX,
127702,8408 Riverstone Drive in,Austin,TX,
78233,3205 Thompson St in,Austin,TX,
9564,2406 Wagon Crossing Path in,Austin,TX,
63237,7500 Canna Cove in,Austin,TX,
61495,1507 Canterbury in,Austin,TX,
8976,2111 East 17Th Street in,Austin,TX,
23753,4717 Turner Ln in,Austin,TX,
24727,1500 East Parmer Lane in,Austin,TX,
130560,2105 Lemon Dr in,Austin,TX,
139722,6800 Ali Cv in,Austin,TX,
59051,11500 April Drive in,Austin,TX,
125398,4801 Turnstone Drive in,Austin,TX,
57906,20507 Ed Acklin in,Austin,TX,
88253,9712 Eastwend Drive in,Austin,TX,
106183,15508 Brenda Street in,Austin,TX,
55727,11608 Falcon Trail Court in,Manor,TX,
16299,4509 East St Elmo in,Austin,TX,
18229,5603 Viewpoint Drive in,Austin,TX,
21562,5701 East Martin Luther King Jr Boulevard in,Austin,TX,
4565,13802 Ann Pl in,Austin,TX,
128032,8301 Bowling Green Drive in,Austin,TX,
130569,4922 Nuckols Crossing in,Austin,TX,
51903,4300 Berman Drive in,Austin,TX,
14046,9811 Copper Creek Drive in,Austin,TX,
46223,3904 Bowhill Dr in,Austin,TX,
27182,1914 Melissa Oaks Lane in,Austin,TX,
109172,4613 Magin Meadow Drive in,Austin,TX,
42345,7650 Ed Bluestein Boulevard in,Austin,TX,
132462,5918 Turnersville Rd in,Travis,TX,
7088,8712 Old Manor Road in,Austin,TX,
108850,3008 Pither Lane in,Austin,TX,
71381,1208 Bonnie Brae in,Austin,TX,
50553,103 Etta Place in,Austin,TX,
41839,641 Tillery Street in,Austin,TX,
100540,1515 Burton Drive in,Austin,TX,
140645,2308 E Riverside in,Austin,TX,
138592,7305 Lunar Drive in,Austin,TX,
138175,1109 South Pleasant Valley Lane in,Austin,TX,
77721,18124 Canopy Lane in,Manor,TX,
39040,6114 Tiner Trail in,Austin,TX,
94584,6800 Mcneil Drive in,Austin,TX,
82510,1431 Main Street (Jonestown) in Round,Rock,TX,
55463,16700 Hamilton Point Circle in,Manor,TX,
58644,10804 Mcangus Road in,Travis,TX,
38081,1116 Milford Way in,Austin,TX,
75000,6322 El Mirando Road in,Austin,TX,
21202,8220 Basswood in,Austin,TX,
133058,13401 Metric Boulevard in,Austin,TX,
74278,6804 Creedmoor Drive in,Austin,TX,
66347,9505 Mountain Quail Road in,Austin,TX,
95447,1111 West Anderson Lane in,Austin,TX,
80528,6704 Viewing Place in,Travis,TX,
59965,2700 Barton Creek Boulevard in,Austin,TX,
90438,2303 Canterbury Street in,Austin,TX,
107263,1300 Bonnie Brae in,Austin,TX,
97661,6406 North Interstate Road in,Austin,TX,
72277,5125 Pepper Lane in,Austin,TX,
