Index_ID,Address,City,State,Zipcode
82340,900 Shelby Lane in,Austin,TX,
78109,216 Old Bastrop Rd in,Travis,TX,
28184,200 W Carrie Manor Rd in,Austin,TX,
128002,11204 Moore in,Travis,TX,
732,129 Andesite Trail in,Travis,TX,
74790,1528 East Parmer Lane in,Austin,TX,
84208,2509 W Pecan St in,Austin,TX,
72217,6515 Greensboro Drive in,Austin,TX,
128454,9323 Menchaca Rd in,Austin,TX,
120185,3004 Long Day Drive in,Austin,TX,
85877,1715 Bunche Rd in,Austin,TX,
95992,402 West Parson Street in,Manor,TX,
120696,3500 Grayson Ln in,Austin,TX,
108712,5505 Sh 71 in,Travis,TX,
35643,10901 Parsons Rd in,Austin,TX,
5535,2105 Ohlen Road in,Austin,TX,
116717,2143 Cervin in,Austin,TX,
25314,1005 East 14Th Street in,Austin,TX,
107081,1702 New York Avenue in,Austin,TX,
33345,1109 East 5Th Street in,Austin,TX,
38927,7012 Colony Park Drive in,Austin,TX,
1667,1105 Chesapeake Dr in,Austin,TX,
75750,11711 Melstone Drive in,Manor,TX,
31051,4704 Santa Anna in,Austin,TX,
105287,6201 East Highway 290 in,Austin,TX,
62009,5008 Regency Dr in,Austin,TX,
111346,1401 Werner Hill Drive in,Austin,TX,
57621,5613 Signal Pt in,Austin,TX,
59049,11302 Walnut Ridge Drive in,Austin,TX,
54363,12300 Harris Branch in,Austin,TX,
36362,301 Chisolm Trail in Round,Rock,TX,
98537,8200 N Ih 35 in,Austin,TX,
86493,11800 Ih 35 in,Austin,TX,
122201,1124 Berger Street in,Austin,TX,
36494,1708 Royal Hill Drive in,Austin,TX,
124416,11801 Gaelic Drive in,Austin,TX,
66664,5509 Mesquite Grove in,Austin,TX,
59378,9808 Cottle in,Austin,TX,
122050,6201 Dooley in,Austin,TX,
129692,4507 Norwood in,Austin,TX,
46597,7Th And Ih 35 in,Austin,TX,
128660,12636 Research Blvd in,Austin,TX,
81399,7205 Walden Dr in,Austin,TX,
120848,8913 Glenn Lane in,Austin,TX,
140881,12804 Doorbell Dr in,Austin,TX,
99143,5500 Palo Blanco in,Austin,TX,
97491,164 Hokanson in,Travis,TX,
96304,1214 Vargas Road in,Austin,TX,
117379,6209 Perlita Dr in,Austin,TX,
54167,1185 Greenwood Avenue in,Austin,TX,
110864,2502 E Oltorf Street in,Austin,TX,
135412,1922 Gracy Farms in,Austin,TX,
57948,1720 Barton Springs in,Austin,TX,
28193,23Rd And San Gabriel in,Austin,TX,
24329,903 Chote Ave in,Austin,TX,
127680,6760 North Plaza in,Austin,TX,
96940,503 Battle Bend Dr in,Austin,TX,
80429,3101 Steck Ave in,Austin,TX,
120364,913 Ramona St in,Austin,TX,
37306,6318 Thurgood in,Austin,TX,
128645,7700 Fm 969 in,Austin,TX,
34655,3000 Oak Springs Drive in,Austin,TX,
133452,11621 Sun Glide Lane in,Travis,TX,
23891,10400 Robinwood Circle in,Austin,TX,
131273,9506 Brown Lane in,Austin,TX,
73789,1138 Gunter St in,Austin,TX,
7427,500 East St Johns Avenue in,Austin,TX,
125777,1001 Sahara in,Austin,TX,
111636,11220 Los Arboles Cir in,Austin,TX,
82959,12012 Cabana Ln in,Austin,TX,
16635,6113 Strathern Dr in,Austin,TX,
65002,8612 Parkfield in,Austin,TX,
127600,2305 Barton Creek Boulevard in,Austin,TX,
112099,5509 Bradford Pear Lane in,Austin,TX,
66373,1501 Dessau Ridge Lane in,Austin,TX,
