Index_ID,Address,City,State,Zipcode
104793,12034 Research Blvd in,Austin,TX,
118068,1912 E William Cannon Rd in,Austin,TX,
60050,4616 E Cesar Chavez in,Austin,TX,
90293,4424 S Mopac #412 in,Austin,TX,
13564,14611 Wells Port Dr in,Austin,TX,
129697,7400 Arrowmound in,Austin,TX,
143221,12317 Wycliff Ln in,Austin,TX,
42348,1401 E Rundberg Ln in,Austin,TX,
89463,8411 Ganttcrest Dr in,Austin,TX,
30566,50Th And Martin in,Austin,TX,
87022,10605 Berthound in,Austin,TX,
24674,2905 French Place in,Austin,TX,
137667,1305 W Oltorf in,Austin,TX,
44677,8603 Fathom Cir in,Austin,TX,
72325,1001 Pres Arriba Rd in,Austin,TX,
14892,600 Barwood Place in,Austin,TX,
82914,17800 Aleppo Pine Trl in,Travis,TX,
34271,3706 Steck Ave in,Austin,TX,
133464,9112 Edmundsburg Dr in,Austin,TX,
127669,4434 Frontier Trl in,Austin,TX,
28222,7201 Levander Loop in,Austin,TX,
118835,2100 Turtle Mountain in,Austin,TX,
19983,183 And Great Hills Trail in,Travis,TX,
36646,11705 Chapel in,Austin,TX,
64376,1704 Nelms Dr #1925 in,Austin,TX,
30995,3304 Webberville Rd in,Austin,TX,
69127,6005 Walnut Hills in,Austin,TX,
127621,1706 City Park Road in,Austin,TX,
45898,3404 Touch Stone St in,Austin,TX,
26,1801 Westridge in,Austin,TX,
25310,1601 Montopolis Dr in,Austin,TX,
102929,2200 S Pleasant Valley Rd in,Austin,TX,
141516,5800 Berkman Dr in,Austin,TX,
111287,6503 Bluff Springs in,Austin,TX,
19415,11309 Bow Ct. in,Austin,TX,
55596,2100 Barton Springs Rd in,Austin,TX,
23612,1201 E. Rundburg in,Austin,TX,
125093,5209 Burnet Rd in,Austin,TX,
98545,1700 E 4Th St in,Austin,TX,
84949,4412 Brandt Rd in,Austin,TX,
39527,11612 Arroyo Blanco in,Austin,TX,
81658,123 East Cesar Chavez in,Austin,TX,
123439,2243 Bagbad Rd in,Austin,TX,
26602,7205 Tumbleweed in,Austin,TX,
23117,2912 E 12Th in,Austin,TX,
15672,12500 Amherst in,Austin,TX,
11202,3225 Oak Aly in,Austin,TX,
110295,10801 Sierra Oaks in,Austin,TX,
17337,5601 Manchaca Rd in,Austin,TX,
109963,14713 Noya Dr in,Travis,TX,
4635,8111 Elkhorn Mountain Trail in,Austin,TX,
38021,1156 W Cesar Chavez in,Austin,TX,
124792,18619 Hamilton Pool Rd in,Travis,TX,
63450,200 W Carrie Manor in,Manor,TX,
141583,38Th in,Austin,TX,
53032,1600 City Park Road in,Austin,TX,
116526,4501 E. Ben White in,Austin,TX,
131638,12621 Hymeadow Dr Unit 205 in,Austin,TX,
59696,0000 Landsman Dr in,Austin,TX,
139768,2603 Hidden Oaks Drive in,Austin,TX,
132211,2018 W Rundberg Lane in,Austin,TX,
92535,4808 Rustown Drive in,Austin,TX,
101734,6015 Kidneywood Trl. in,Austin,TX,
62248,2901 Breeze Terrace in,Austin,TX,
42427,11530 Loweswater in,Austin,TX,
117387,200 East Martin Luther King Junior Boulevard in,Austin,TX,
114346,9903 Sausalito Dr in,Austin,TX,
124590,8702 Black Oak St. in,Austin,TX,
131353,404 Ramble Ln in,Austin,TX,
20552,11209 Forsythe Drive in,Austin,TX,
134658,1941 Gaston Pl #313 in,Austin,TX,
121228,15909 Awalt in,Travis,TX,
142136,7207 A Tumble Weed Dr in,Austin,TX,
113890,4201 Monterey Oaks Boulevard in,Austin,TX,
