,Index_ID,Animal_ID,Found_Location,Found_Location_count,State,City,Address
4,104793,A134067,12034 Research Blvd in Austin (TX),6,(TX),Austin,12034 Research Blvd in
11,118068,A191351,1912 E William Cannon Rd in Austin (TX),8,(TX),Austin,1912 E William Cannon Rd in
12,60050,A197810,4616 E Cesar Chavez in Austin (TX),7,(TX),Austin,4616 E Cesar Chavez in
15,90293,A210457,4424 S Mopac #412 in Austin (TX),7,(TX),Austin,4424 S Mopac #412 in
16,13564,A212672,14611  Wells Port Dr in Austin (TX),8,(TX),Austin,14611 Wells Port Dr in
22,129697,A221327,7400 Arrowmound in Austin (TX),5,(TX),Austin,7400 Arrowmound in
27,143221,A233812,12317 Wycliff Ln in Austin (TX),6,(TX),Austin,12317 Wycliff Ln in
28,42348,A234161,1401 E Rundberg Ln in Austin (TX),7,(TX),Austin,1401 E Rundberg Ln in
30,89463,A238870,8411 Ganttcrest Dr in Austin (TX),6,(TX),Austin,8411 Ganttcrest Dr in
31,30566,A243903,50Th And Martin in Austin (TX),6,(TX),Austin,50Th And Martin in
37,87022,A251268,10605 Berthound in Austin (TX),5,(TX),Austin,10605 Berthound in
38,24674,A251402,2905 French Place in Austin (TX),6,(TX),Austin,2905 French Place in
39,137667,A253939,1305 W Oltorf in Austin (TX),6,(TX),Austin,1305 W Oltorf in
40,44677,A254503,8603 Fathom Cir in Austin (TX),6,(TX),Austin,8603 Fathom Cir in
41,72325,A256412,1001 Pres Arriba Rd in Austin (TX),7,(TX),Austin,1001 Pres Arriba Rd in
43,14892,A260631,600 Barwood Place in Austin (TX),6,(TX),Austin,600 Barwood Place in
44,82914,A260914,17800 Aleppo Pine Trl in Travis (TX),7,(TX),Travis,17800 Aleppo Pine Trl in
45,34271,A261398,3706 Steck Ave in Austin (TX),6,(TX),Austin,3706 Steck Ave in
49,133464,A271790,9112 Edmundsburg Dr in Austin (TX),6,(TX),Austin,9112 Edmundsburg Dr in
52,127669,A276780,4434 Frontier Trl in Austin (TX),6,(TX),Austin,4434 Frontier Trl in
54,28222,A279920,7201 Levander Loop in Austin (TX),6,(TX),Austin,7201 Levander Loop in
55,118835,A280390,2100 Turtle Mountain in Austin (TX),6,(TX),Austin,2100 Turtle Mountain in
57,19983,A282897,183 And Great Hills Trail in Travis (TX),8,(TX),Travis,183 And Great Hills Trail in
59,36646,A283495,11705 Chapel in Austin (TX),5,(TX),Austin,11705 Chapel in
62,64376,A285685,1704 Nelms Dr #1925 in Austin (TX),7,(TX),Austin,1704 Nelms Dr #1925 in
69,30995,A293138,3304 Webberville Rd in Austin (TX),6,(TX),Austin,3304 Webberville Rd in
70,69127,A293383,6005 Walnut Hills in Austin (TX),6,(TX),Austin,6005 Walnut Hills in
71,127621,A293634,1706 City Park Road in Austin (TX),7,(TX),Austin,1706 City Park Road in
74,45898,A295822,3404 Touch Stone St in Austin (TX),7,(TX),Austin,3404 Touch Stone St in
76,26,A298074,1801 Westridge in Austin (TX),5,(TX),Austin,1801 Westridge in
78,25310,A301824,1601 Montopolis Dr in Austin (TX),6,(TX),Austin,1601 Montopolis Dr in
81,102929,A303591,2200 S Pleasant Valley Rd in Austin (TX),8,(TX),Austin,2200 S Pleasant Valley Rd in
84,141516,A305112,5800 Berkman Dr in Austin (TX),6,(TX),Austin,5800 Berkman Dr in
85,111287,A305674,6503 Bluff Springs in Austin (TX),6,(TX),Austin,6503 Bluff Springs in
87,19415,A306965,11309 Bow Ct. in Austin (TX),6,(TX),Austin,11309 Bow Ct. in
96,55596,A310454,2100 Barton Springs Rd in Austin (TX),7,(TX),Austin,2100 Barton Springs Rd in
97,23612,A310938,1201 E. Rundburg in Austin (TX),6,(TX),Austin,1201 E. Rundburg in
99,125093,A312005,5209 Burnet Rd in Austin (TX),6,(TX),Austin,5209 Burnet Rd in
102,98545,A317744,1700 E 4Th St in Austin (TX),7,(TX),Austin,1700 E 4Th St in
106,84949,A318574,4412 Brandt Rd in Austin (TX),6,(TX),Austin,4412 Brandt Rd in
111,39527,A321820,11612 Arroyo Blanco in Austin (TX),6,(TX),Austin,11612 Arroyo Blanco in
117,81658,A326898,123 East Cesar Chavez in Austin (TX),7,(TX),Austin,123 East Cesar Chavez in
118,123439,A328422,2243 Bagbad Rd in Austin (TX),6,(TX),Austin,2243 Bagbad Rd in
120,26602,A329502,7205 Tumbleweed in Austin (TX),5,(TX),Austin,7205 Tumbleweed in
123,23117,A329871,2912 E 12Th in Austin (TX),6,(TX),Austin,2912 E 12Th in
124,15672,A329968,12500 Amherst in Austin (TX),5,(TX),Austin,12500 Amherst in
125,11202,A332026,3225 Oak Aly in Austin (TX),6,(TX),Austin,3225 Oak Aly in
128,110295,A333659,10801 Sierra Oaks in Austin (TX),6,(TX),Austin,10801 Sierra Oaks in
130,17337,A333781,5601 Manchaca Rd in Austin (TX),6,(TX),Austin,5601 Manchaca Rd in
131,109963,A334065,14713 Noya Dr in Travis (TX),6,(TX),Travis,14713 Noya Dr in
133,4635,A335778,8111 Elkhorn Mountain Trail in Austin (TX),7,(TX),Austin,8111 Elkhorn Mountain Trail in
135,38021,A337603,1156 W Cesar Chavez in Austin (TX),7,(TX),Austin,1156 W Cesar Chavez in
144,124792,A339523,18619 Hamilton Pool Rd in Travis (TX),7,(TX),Travis,18619 Hamilton Pool Rd in
153,63450,A346010,200 W Carrie Manor in Manor (TX),7,(TX),Manor,200 W Carrie Manor in
159,141583,A348272,38Th in Austin (TX),4,(TX),Austin,38Th in
160,53032,A348400,1600 City Park Road in Austin (TX),7,(TX),Austin,1600 City Park Road in
162,116526,A349334,4501 E. Ben White in Austin (TX),7,(TX),Austin,4501 E. Ben White in
163,131638,A349480,12621 Hymeadow Dr Unit 205 in Austin (TX),8,(TX),Austin,12621 Hymeadow Dr Unit 205 in
164,59696,A349733,0000 Landsman Dr in Austin (TX),6,(TX),Austin,0000 Landsman Dr in
167,139768,A350276,2603 Hidden Oaks Drive in Austin (TX),7,(TX),Austin,2603 Hidden Oaks Drive in
169,132211,A350375,2018 W Rundberg Lane in Austin (TX),7,(TX),Austin,2018 W Rundberg Lane in
170,92535,A352261,4808 Rustown Drive in Austin (TX),6,(TX),Austin,4808 Rustown Drive in
171,101734,A352555,6015 Kidneywood Trl. in Austin (TX),6,(TX),Austin,6015 Kidneywood Trl. in
172,62248,A352713,2901 Breeze Terrace in Austin (TX),6,(TX),Austin,2901 Breeze Terrace in
174,42427,A353259,11530 Loweswater in Austin (TX),5,(TX),Austin,11530 Loweswater in
177,117387,A354725,200 East Martin Luther King Junior Boulevard in Austin (TX),10,(TX),Austin,200 East Martin Luther King Junior Boulevard in
183,114346,A357021,9903 Sausalito Dr in Austin (TX),6,(TX),Austin,9903 Sausalito Dr in
184,124590,A357122,8702 Black Oak St. in Austin (TX),7,(TX),Austin,8702 Black Oak St. in
189,131353,A358879,404 Ramble Ln in Austin (TX),6,(TX),Austin,404 Ramble Ln in
190,20552,A360450,11209 Forsythe Drive in Austin (TX),6,(TX),Austin,11209 Forsythe Drive in
192,134658,A361391,1941 Gaston Pl #313 in Austin (TX),7,(TX),Austin,1941 Gaston Pl #313 in
193,121228,A362103,15909 Awalt in Travis (TX),5,(TX),Travis,15909 Awalt in
196,142136,A362707,7207 A Tumble Weed Dr in Austin (TX),8,(TX),Austin,7207 A Tumble Weed Dr in
197,113890,A362851,4201 Monterey Oaks Boulevard in Austin (TX),7,(TX),Austin,4201 Monterey Oaks Boulevard in
201,113607,A364429,1210 Barton Springs in Austin (TX),6,(TX),Austin,1210 Barton Springs in
203,58370,A365302,2308 London in Travis (TX),5,(TX),Travis,2308 London in
204,127325,A367012,12100 Fm 973 in Travis (TX),6,(TX),Travis,12100 Fm 973 in
206,34416,A367747,5705 Thunderbird in Lago Vista (TX),6,(TX),Vista,5705 Thunderbird in Lago
207,130792,A368742,6920 Broad Brook Dr in Austin (TX),7,(TX),Austin,6920 Broad Brook Dr in
208,62988,A368930,8324 Alum Rock Dr in Austin (TX),7,(TX),Austin,8324 Alum Rock Dr in
212,52870,A371000,701 W Longspur in Austin (TX),6,(TX),Austin,701 W Longspur in
213,131953,A371102,11328 Ashbrook in Austin (TX),5,(TX),Austin,11328 Ashbrook in
216,110590,A372496,1109 Southwood Road in Austin (TX),6,(TX),Austin,1109 Southwood Road in
220,68409,A375393,6219 Oakclaire Dr in Austin (TX),6,(TX),Austin,6219 Oakclaire Dr in
221,61367,A376322,3611 Brifal Path in Austin (TX),6,(TX),Austin,3611 Brifal Path in
229,43062,A378974,1411 Cometa in Austin (TX),5,(TX),Austin,1411 Cometa in
230,28442,A379998,51St And Grover in Austin (TX),6,(TX),Austin,51St And Grover in
235,109310,A381173,8500 Cornwall Dr in Austin (TX),6,(TX),Austin,8500 Cornwall Dr in
239,71687,A382251,2020 Kenwood Dr in Austin (TX),6,(TX),Austin,2020 Kenwood Dr in
243,86579,A384360,6503 Starstreak Dr in Austin (TX),6,(TX),Austin,6503 Starstreak Dr in
245,27850,A385442,11116 Middle Fiskville Rd in Austin (TX),7,(TX),Austin,11116 Middle Fiskville Rd in
250,57558,A387083,12401 N Lamar in Austin (TX),6,(TX),Austin,12401 N Lamar in
251,88607,A387965,6508 Sierra Vista in Travis (TX),6,(TX),Travis,6508 Sierra Vista in
252,103690,A388360,4909 Woodrow in Austin (TX),5,(TX),Austin,4909 Woodrow in
254,84244,A388691,14028 N 183 in Austin (TX),6,(TX),Austin,14028 N 183 in
257,140386,A390436,1100 Arcadia Ave in Austin (TX),6,(TX),Austin,1100 Arcadia Ave in
258,65111,A391379,5400 Friedrich Lane in Austin (TX),6,(TX),Austin,5400 Friedrich Lane in
259,80739,A391512,6000 Tara Dr in Austin (TX),6,(TX),Austin,6000 Tara Dr in
260,113268,A391858,2400 E Oltorf St in Austin (TX),7,(TX),Austin,2400 E Oltorf St in
262,29142,A392075,4000 Clawson in Austin (TX),5,(TX),Austin,4000 Clawson in
266,130786,A396810,5801 Ainez Dr in Austin (TX),6,(TX),Austin,5801 Ainez Dr in
267,131078,A397882,11806 Shropshire in Austin (TX),5,(TX),Austin,11806 Shropshire in
274,98000,A405494,8203 S 1St in Austin (TX),6,(TX),Austin,8203 S 1St in
275,71779,A406756,7001 E Meadow Bend in Austin (TX),7,(TX),Austin,7001 E Meadow Bend in
283,57361,A412626,8520 New Hampshire Blvd in Austin (TX),7,(TX),Austin,8520 New Hampshire Blvd in
288,34268,A414513,4606 S 1St in Austin (TX),6,(TX),Austin,4606 S 1St in
290,62832,A415049,4020 Lost Oasis Hollow in Austin (TX),7,(TX),Austin,4020 Lost Oasis Hollow in
291,94744,A415589,5004 Allyson Ct in Austin (TX),6,(TX),Austin,5004 Allyson Ct in
301,96365,A417545,6123 Valient Cir #A in Austin (TX),7,(TX),Austin,6123 Valient Cir #A in
304,54250,A417705,11605 Buckingham Rd in Austin (TX),6,(TX),Austin,11605 Buckingham Rd in
308,52865,A418634,6001 W Parmer Ln in Austin (TX),7,(TX),Austin,6001 W Parmer Ln in
309,54104,A418871,2212 David St in Austin (TX),6,(TX),Austin,2212 David St in
