Index_ID,Address from CSV,If match or not,,Geo coded Address with zipcode,Longitude,Latitude,Tigerline ID Side,STATE CODE:,COUNTY CODE,TRACT CODE,BLOCK CODE
23967,"11516 Dove Flight in, Travis, TX,",No_Match,,,,,,,,,
46601,"4512 West Village Court in, Austin, TX,",Match,Exact,"4512 W VILLAGE CT, AUSTIN, TX, 78744","-97.74719793599996,30.192291796000063",63950088,L,48,453,2412,1001
87150,"1309 Piney Creek Ln in, Travis, TX,",No_Match,,,,,,,,,
92502,"904 Wagon Trail in, Austin, TX,",Match,Exact,"904 WAGON TRL, AUSTIN, TX, 78758","-97.69163217899995,30.37869741600008",64025495,R,48,453,1822,3003
63188,"9705 Thaxton in, Travis, TX,",No_Match,,,,,,,,,
137621,"1012 Fieldwood Dr in, Austin, TX,",Match,Exact,"1012 FIELDWOOD DR, AUSTIN, TX, 78758","-97.69787813599999,30.37066358800007",64003143,R,48,453,1822,4000
67549,"2813 Jorwoods Drive in, Austin, TX,",Match,Exact,"2813 JORWOODS DR, AUSTIN, TX, 78745","-97.82247979999994,30.20148409500007",63939869,L,48,453,1729,1005
75166,"1801 Mearns Meadow in, Austin, TX,",Match,Non_Exact,"1801 MEARNS MEADOW BLVD, AUSTIN, TX, 78758","-97.70913430399997,30.381490683000038",63930381,L,48,453,1821,3015
126969,"22701 Divide Drive in, Travis, TX,",No_Match,,,,,,,,,
55563,"1139 Gunter Street in, Austin, TX,",Match,Exact,"1139 GUNTER ST, AUSTIN, TX, 78721","-97.69619450199997,30.270743581000033",64016954,R,48,453,2111,1003
54231,"10101 W Parmer Ln 433 in, Austin, TX,",Match,Non_Exact,"10101 W PARMER LN, AUSTIN, TX, 78717","-97.77265160399998,30.49124743200008",642860094,R,48,491,20508,1007
35951,"1601 East Slaugher Lane in, Austin, TX,",No_Match,,,,,,,,,
125633,"5220 N 973 Rd in, Travis, TX,",No_Match,,,,,,,,,
2301,"8203 A North Lamar Boulevard in, Austin, TX,",Match,Exact,"8203 N LAMAR BLVD, AUSTIN, TX, 78753","-97.70897164899998,30.350929733000044",63932037,R,48,453,1806,4003
121278,"5313 Manor Road in, Austin, TX,",Match,Exact,"5313 MANOR RD, AUSTIN, TX, 78723","-97.68554180799998,30.30055744200007",64019260,R,48,453,2107,2007
4963,"3519 River Rd in, Austin, TX,",Match,Exact,"3519 RIVER RD, AUSTIN, TX, 78703","-97.77267350199998,30.306661637000047",63941283,L,48,453,1604,3002
4964,"15001 Strathaven Pass in, Austin, TX,",No_Match,,,,,,,,,
68870,"20708 Adobe in, Travis, TX,",No_Match,,,,,,,,,
93829,"9608 Crown Ridge in, Austin, TX,",Tie,,,,,,,,,
133271,"6812 Quinton Drive in, Austin, TX,",Match,Exact,"6812 QUINTON DR, AUSTIN, TX, 78747","-97.74025173299998,30.151987861000066",633208287,L,48,453,2426,1064
138969,"6201 S Congress Ave in, Austin, TX,",No_Match,,,,,,,,,
17299,"3400 S 620 Rd in, Austin, TX,",No_Match,,,,,,,,,
43565,"9442 N Capital Of Texas Hwy in, Austin, TX,",Match,Non_Exact,"9442 N CAPITAL OF TEXAS HWY, AUSTIN, TX, 78731","-97.74797304499998,30.38882890700006",64003121,L,48,453,1722,2012
68882,"15400 Delahunty Ln in, Travis, TX,",No_Match,,,,,,,,,
67552,"11025 Parinoy Lane in, Austin, TX,",Match,Non_Exact,"11025 PAIRNOY LN, AUSTIN, TX, 78739","-97.90325717399998,30.19246496200003",64053474,L,48,453,1770,1014
43560,"4400 Dovemeadow Drive in, Austin, TX,",Match,Exact,"4400 DOVEMEADOW DR, AUSTIN, TX, 78744","-97.75108052299998,30.18906606200005",63974485,L,48,453,2412,3021
