Index_ID,Animal_ID,Street Number,Street Name,City,St,Zip,,,,,,,
110500,859434,8821,Zyle Rd  ,Austin,TX,,,,,,,,
20253,729571,4406,Zyle   ,Austin,TX,,,,,,,,
72805,832840,14906,Zurick Dr  ,Del Valle,TX,,,,,,,,
128766,794858,14901,Zurick Dr  ,Manor,TX,,,,,,,,
94192,840237,14804,Zurick Dr  ,Austin,TX,,,,,,,,
782,799739,14906,Zurick Dr  ,Austin,TX,,,,,,,,
127313,835632,14906,Zurick   ,Austin,TX,,,,,,,,
32553,775063,10408,Zurich Dr  ,Austin,TX,,,,,,,,
36649,722457,17317,Zola Ln ,Round Rock,TX,,,,,,,,
11172,742092,1800,Zircon Cv  ,Austin,TX,,,,,,,,
130774,715814,9800,Zion Way  ,Austin,TX,,,,,,,,
94771,731493,3902,Ziller Cove  ,Austin,TX,,,,,,,,
122072,735948,6609,Zequiel Dr  ,Austin,TX,,,,,,,,
90513,680818,6700,Zequiel Dr  ,Austin,TX,,,,,,,,
139002,849804,2204,Zepeda Place  ,Austin,TX,,,,,,,,
58149,830515,402,Zennia St  ,Austin,TX,,,,,,,,
29,815227,12305,Zeller Ln  ,Austin,TX,,,,,,,,
44657,704152,12421,Zeller Ln  ,Austin,TX,,,,,,,,
140721,764997,12505,Zeller Ln  ,Austin,TX,,,,,,,,
140695,699966,12400,Zeller Ln  ,Austin,TX,,,,,,,,
112273,788789,2804,Zeke Bnd  ,Austin,TX,,,,,,,,
78257,759419,2801,Zeke Bend  ,Austin,TX,,,,,,,,
8932,795872,2705,Zaragosa St  ,Austin,TX,,,,,,,,
5130,723432,2702,Zaragosa St  ,Austin,TX,,,,,,,,
3417,665568,2712,Zaragosa St  ,Austin,TX,,,,,,,,
57146,664374,1307,Zachary'S Way  ,Austin,TX,,,,,,,,
8724,774419,5729,Zachary Scott St ,Austin,TX,,,,,,,,
7547,646455,5608,Zachary Scott St ,Austin,TX,,,,,,,,
29030,726911,5729,Zachary Scott St ,Austin,TX,,,,,,,,
84799,722165,5832,Zachary Scott St ,Austin,TX,,,,,,,,
129075,670775,5522,Zachary Scott St ,Austin,TX,,,,,,,,
82940,666567,5812,Zachary Scott St ,Austin,TX,,,,,,,,
43742,795822,1937,Zachary Scott St ,Austin,TX,,,,,,,,
138327,816320,2500,Zachary Scott St ,Austin,TX,,,,,,,,
100679,664723,9016,Yucca Mountain Rd ,Austin,TX,,,,,,,,
9021,699368,26,Yucca Dr  ,Austin,TX,,,,,,,,
38610,803642,11307,Yucca Dr  ,Austin,TX,,,,,,,,
87908,769479,8501,Young Ln  ,Austin,TX,,,,,,,,
57904,683793,2500,Yosemite Dr  ,Austin,TX,,,,,,,,
104807,765523,1308,Yorkshire Dr  ,Austin,TX,,,,,,,,
7591,834512,1413,Yorkshire Dr  ,Austin,TX,,,,,,,,
41324,782692,4909,York Hill Dr ,Austin,TX,,,,,,,,
81533,782599,4900,York Hill  ,Austin,TX,,,,,,,,
102400,665963,1203,York Castle Dr  ,Pflugerville,TX,,,,,,,,
20419,739609,1111,York Castle Dr ,Austin,TX,,,,,,,,
108814,690433,1113,York Castle  ,Austin,TX,,,,,,,,
