,zipcode,major_city,county,state,population,population_density,land_area_in_sqmi,housing_units,median_household_income,Male_Population,Female_Population,Less_than_high_school,High_School_Graduate,Associates_degree,Bachelors_degree,Masters_degree,Professional_school_degree,Doctorate_degree,Race_white,Race_black_African_American,Race_American_Indian_Alaskan_native,Race_Asian,Race_Native_Hawaiian_Pacific_Islander,Race-Other,Race_Two_or_more
0,78724,Austin,Travis County,TX,21696,889,24.4,6138,38479,11181,10515,4341,5270,683,915,245,18,71,8339,6167,239,100,6,6165,680
1,78660,Pflugerville,Travis County,TX,68789,1519,45.3,23950,76007,33565,35224,4517,20539,4886,11731,4151,282,402,42256,10731,452,5723,85,6942,2600
2,78747,Austin,Travis County,TX,14808,623,23.78,5491,61599,7345,7463,1556,5071,584,2354,406,133,118,9664,1052,183,351,12,2998,548
3,78732,Austin,Travis County,TX,14060,1061,13.25,5033,131216,6978,7082,3,1757,434,4010,1914,466,462,11767,239,42,1379,5,239,389
4,78728,Austin,Travis County,TX,20299,2503,8.11,10240,48612,10015,10284,1147,5940,1370,3850,1475,199,138,12596,2843,137,1976,25,1848,874
5,78741,Austin,Travis County,TX,44935,5915,7.6,20500,30871,23969,20966,8387,10832,1107,3866,1351,225,237,24139,4743,550,1831,39,11893,1740
6,78735,Austin,Travis County,TX,16131,785,20.55,7572,79984,7797,8334,643,2763,605,4952,1822,766,437,13526,260,92,926,7,910,410
7,78746,Austin,Travis County,TX,26928,1197,22.49,11520,128936,13319,13609,170,3210,625,8101,3972,2097,966,23983,214,93,1788,12,309,529
8,78751,Austin,Travis County,TX,14385,6001,2.4,8375,39032,7766,6619,240,2381,438,3468,1893,277,488,11762,432,70,895,8,730,488
9,78744,Austin,Travis County,TX,42820,2001,21.4,13720,41721,21661,21159,8767,11387,1233,2478,664,201,35,22153,3663,802,401,50,14040,1711
10,78745,Austin,Travis County,TX,55614,4166,13.35,25749,50672,27813,27801,5393,18935,2426,10258,3204,587,359,40450,2596,601,1133,32,8730,2072
11,78759,Austin,Travis County,TX,38891,2794,13.92,20640,66828,19048,19843,892,8389,1484,11325,5109,1497,1299,31364,1210,139,4092,25,1030,1031
12,78704,Austin,Travis County,TX,42117,4838,8.7,23575,50930,21261,20856,2025,9089,1546,11110,3834,1584,759,33444,1559,366,786,15,4472,1475
13,78722,Austin,Travis County,TX,5901,3896,1.51,3034,50923,2986,2915,304,1236,189,1978,859,102,197,4288,821,25,169,2,360,236
14,78702,Austin,Travis County,TX,21334,4268,5,9032,36197,10887,10447,4304,5391,323,3205,1002,178,174,11323,3715,334,228,5,4985,744
15,78754,Austin,Travis County,TX,15036,1135,13.25,6492,54896,7464,7572,924,5038,698,2516,902,97,127,7504,3068,113,1808,19,1887,637
16,78723,Austin,Travis County,TX,28330,4083,6.94,12398,42939,14569,13761,4418,7673,785,4098,1605,324,315,13892,6979,327,532,19,5472,1109
17,78719,Austin,Travis County,TX,1764,95,18.65,586,38305,908,856,525,461,20,76,48,0,0,1008,62,31,10,0,611,42
18,78753,Austin,Travis County,TX,49301,4495,10.97,19630,38884,25647,23654,9456,14429,1645,4746,1238,167,186,26031,6141,632,3373,24,11166,1934
19,78736,Austin,Travis County,TX,6946,240,28.99,2806,84940,3419,3527,236,1867,270,1803,833,62,86,6080,86,32,247,13,292,196
20,78757,Austin,Travis County,TX,21310,4335,4.92,10898,57429,10453,10857,1359,5756,926,5220,2528,514,461,18327,675,150,480,8,1120,550
21,78641,Leander,Williamson County,TX,44295,350,126.47,15749,71885,22045,22250,3039,14877,2870,7161,2025,211,211,36682,1754,303,874,37,3061,1584
22,78752,Austin,Travis County,TX,18064,5403,3.34,7944,34716,9778,8286,3976,4429,493,2095,807,88,120,10787,2124,334,333,10,3781,695
23,78731,Austin,Travis County,TX,24614,2865,8.59,12984,75269,12014,12600,295,3570,688,7528,3747,1642,1052,21368,333,67,1928,9,357,552
24,78729,Austin,Williamson County,TX,27108,2939,9.23,13284,60690,13427,13681,744,8049,1212,5694,1919,402,158,20603,1836,183,2233,25,1209,1019
25,78748,Austin,Travis County,TX,40651,3207,12.67,16857,66309,19670,20981,2018,12390,2116,8639,2750,297,217,30993,2105,320,1642,34,4082,1475
26,78742,Austin,Travis County,TX,820,143,5.74,322,19688,410,410,228,182,8,68,40,0,5,536,30,12,2,6,184,50
27,78725,Austin,Travis County,TX,6083,346,17.57,1978,52381,2988,3095,1890,2481,120,597,127,0,15,2924,1838,96,55,13,970,187
28,78758,Austin,Travis County,TX,44072,4747,9.28,19577,43537,23014,21058,6267,12480,1690,6744,2167,169,200,25073,4810,467,2911,29,9196,1586
