index_id_intake,animal_id_intake,breed_category,breed_consolidated,breed_group,breed_contains_pitbull,color_consolidated,intake_type,intake_condition,sex_upon_intake_subtype,age_intake(days),age_intake(years),age_range_intake,intake_date,intake_month,intake_day1,intake_year,intake_numeric_weekday,intake_hour,outcome_date,outcome_month,outcome_day,outcome_year,outcome_weekday,age_outcome(days),age_upon_outcome(years),age_range_outcome,days_in_shelter,outcome,zipcode,population,population_density,land_area_in_sqmi,housing_units,median_household_income,Male_Population,Female_Population,Less_than_high_school,High_School_Graduate,Associates_degree,Bachelors_degree,Masters_degree,Professional_school_degree,Doctorate_degree,Race_white,Race_black_African_American,Race_American_Indian_Alaskan_native,Race_Asian,Race_Native_Hawaiian_Pacific_Islander,Race-Other,Race_Two_or_more
142136,A362707,Mix,retriever,sporting,N,Black,Owner Surrender,Sick,Female,4015,11,"(10.0, 12.5]",1/27/2016,1,27,2016,2,12,1/10/2017,1,10,2017,Tuesday,4667,12.79,"(12.5, 15.0]",348,Success,78725,6083,346,17.57,1978,52381,2988,3095,1890,2481,120,597,127,0,15,2924,1838,96,55,13,970,187
130786,A396810,Mix,retriever,sporting,N,Black,Stray,Injured,Female,4745,13,"(12.5, 15.0]",8/22/2016,8,22,2016,0,16,12/23/2016,12,23,2016,Friday,4912,13.46,"(12.5, 15.0]",122,Success,78724,21696,889,24.4,6138,38479,11181,10515,4341,5270,683,915,245,18,71,8339,6167,239,100,6,6165,680
123222,A428783,Purebred,herding,working-herding,N,Other,Public Assist,Normal,Female,2920,8,"(7.5, 10.0]",1/31/2014,1,31,2014,4,16,2/13/2014,2,13,2014,Thursday,3023,8.28,"(7.5, 10.0]",13,Success,78758,44072,4747,9.28,19577,43537,23014,21058,6267,12480,1690,6744,2167,169,200,25073,4810,467,2911,29,9196,1586
58675,A442798,Mix,terrier,terrier,N,White/Other,Public Assist,Normal,Female,3285,9,"(7.5, 10.0]",4/10/2015,4,10,2015,4,16,4/29/2015,4,29,2015,Wednesday,3485,9.55,"(7.5, 10.0]",18,Success,78752,18064,5403,3.34,7944,34716,9778,8286,3976,4429,493,2095,807,88,120,10787,2124,334,333,10,3781,695
76282,A443790,Mix,herding,working-herding,N,Black/Other,Stray,Normal,Male,3285,9,"(7.5, 10.0]",9/3/2014,9,3,2014,2,17,9/13/2014,9,13,2014,Saturday,3312,9.07,"(7.5, 10.0]",10,Success,78745,55614,4166,13.35,25749,50672,27813,27801,5393,18935,2426,10258,3204,587,359,40450,2596,601,1133,32,8730,2072
37466,A460458,Mix,chihuahua ,toy,N,Brown/White,Owner Surrender,Normal,Male,2920,8,"(7.5, 10.0]",2/12/2016,2,12,2016,4,14,2/23/2016,2,23,2016,Tuesday,3239,8.87,"(7.5, 10.0]",11,Success,78744,42820,2001,21.4,13720,41721,21661,21159,8767,11387,1233,2478,664,201,35,22153,3663,802,401,50,14040,1711
45818,A500324,Mix,herding,working-herding,N,Other,Stray,Normal,Male,4745,13,"(12.5, 15.0]",5/22/2021,5,22,2021,5,14,6/1/2021,6,1,2021,Tuesday,4903,13.43,"(12.5, 15.0]",9,Success,78731,24614,2865,8.59,12984,75269,12014,12600,295,3570,688,7528,3747,1642,1052,21368,333,67,1928,9,357,552
54444,A500672,Purebred,pit bull,terrier,Y,White/Black or Brown,Stray,Normal,Female,4015,11,"(10.0, 12.5]",11/23/2019,11,23,2019,5,15,2/7/2020,2,7,2020,Friday,4446,12.18,"(10.0, 12.5]",75,Success,78757,21310,4335,4.92,10898,57429,10453,10857,1359,5756,926,5220,2528,514,461,18327,675,150,480,8,1120,550
3218,A501761,Mix,chihuahua ,toy,N,Black/White,Public Assist,Normal,Female,4380,12,"(10.0, 12.5]",5/29/2019,5,29,2019,2,11,8/12/2019,8,12,2019,Monday,4482,12.28,"(10.0, 12.5]",75,Success,78744,42820,2001,21.4,13720,41721,21661,21159,8767,11387,1233,2478,664,201,35,22153,3663,802,401,50,14040,1711
94840,A504891,Purebred,hound,hound,N,Black/Other,Owner Surrender,Normal,Male,4015,11,"(10.0, 12.5]",4/17/2015,4,17,2015,4,12,4/17/2015,4,17,2015,Friday,4036,11.06,"(10.0, 12.5]",0,Success,78653,16375,156,104.97,5532,59763,8141,8234,1974,4831,778,1744,391,145,42,9143,3320,140,312,17,2782,661
