index_id_intake,animal_id_intake,datetime_intake,monthyear_intake,found_location,intake_type,intake_condition,animal_type_intake,sex_upon_intake,age_upon_intake,breed_intake,color_intake,age_upon_intake(days),age_upon_intake(years),age_range_intake,intake_month,intake_year,intake_weekday,intake_hour,intake_frequency,order_of_intake,breed_intake_subtype,main_breed_intake,breed_contains_pitbull,sex_upon_intake_subtype,time_in_shelter,days_in_shelter,zipcode_intake,longitude_intake,latitude_intake
143746,A605245,2022-08-31 15:22:00,August 2022,Travis (TX),Owner Surrender,Normal,Dog,Spayed Female,11 years,Pit Bull Mix,Brown Merle,4015,11,"(10.0, 12.5]",8,2022,Wednesday,15,1,1,Mix,Pit Bull,Y,Female,20 days 04:18:25.734475,20,,,
143744,A552059,2022-08-31 15:56:00,August 2022,Austin (TX),Stray,Aged,Dog,Intact Female,13 years,English Foxhound Mix,Brown/White,4745,13,"(12.5, 15.0]",8,2022,Wednesday,15,2,2,Mix,English Foxhound,N,Female,20 days 03:44:25.734475,20,,,
41202,A635918,2022-06-19 20:09:00,June 2022,1212 W Ben White Apt 217 in Austin (TX),Public Assist,Normal,Dog,Neutered Male,10 years,Chihuahua Shorthair Mix,Red,3650,10,"(7.5, 10.0]",6,2022,Sunday,20,1,1,Mix,Chihuahua Shorthair,N,Male,92 days 23:31:25.734475,92,,,
33808,A645513,2015-05-18 07:30:00,May 2015,3001 Sauls in Austin (TX),Stray,Injured,Cat,Neutered Male,6 years,Domestic Longhair Mix,Cream Tabby/White,2190,6,"(5.0, 7.5]",5,2015,Monday,7,1,1,Mix,Domestic Longhair,N,Male,2682 days 12:10:25.734475,2682,78728,-97.68089902899999,30.455960669000035
5820,A636629,2014-09-07 16:31:00,September 2014,706 Terrace Mountain Drive in Austin (TX),Stray,Normal,Cat,Spayed Female,4 years,Domestic Shorthair Mix,Tortie,1460,4,"(2.5, 5.0]",9,2014,Sunday,16,1,1,Mix,Domestic Shorthair,N,Female,2935 days 03:09:25.734475,2935,78746,-97.79825471099997,30.304418001000045
94807,A655093,2021-10-01 12:13:00,October 2021,Manor (TX),Owner Surrender,Normal,Dog,Neutered Male,9 years,Labrador Retriever/Chow Chow,Brown/Black,3285,9,"(7.5, 10.0]",10,2021,Friday,12,1,1,Purebred,Labrador Retriever,N,Male,354 days 07:27:25.734475,354,,,
74777,A668976,2022-07-26 13:12:00,July 2022,Austin (TX),Stray,Normal,Dog,Neutered Male,11 years,Rhod Ridgeback Mix,Brown,4015,11,"(10.0, 12.5]",7,2022,Tuesday,13,2,2,Mix,Rhod Ridgeback,N,Male,56 days 06:28:25.734475,56,,,
143764,A663813,2022-09-01 09:33:00,September 2022,6813 Crystalbrook Dr in Austin (TX),Stray,Sick,Dog,Neutered Male,9 years,Pit Bull Mix,Fawn/White,3285,9,"(7.5, 10.0]",9,2022,Thursday,9,1,1,Mix,Pit Bull,Y,Male,19 days 10:07:25.734475,19,78724,-97.65284390299996,30.30507308700004
64486,A650409,2022-07-05 11:52:00,July 2022,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,10 years,Australian Kelpie/Pit Bull,Black,3650,10,"(7.5, 10.0]",7,2022,Tuesday,11,6,6,Purebred,Australian Kelpie,Y,Female,77 days 07:48:25.734475,77,,,
55914,A650532,2022-06-09 17:13:00,June 2022,Baylor Street At Parkway in Austin (TX),Stray,Normal,Dog,Intact Male,9 years,Pit Bull,Black Brindle/White,3285,9,"(7.5, 10.0]",6,2022,Thursday,17,1,1,Purebred,Pit Bull,Y,Male,103 days 02:27:25.734475,103,,,
