zipcode,median_household_income,animal_id_intake,Cats,Dogs,Adoption,Euthanasia/Died,Return to Owner,Shelter,Transfer,Success Rate,Return to Owner,Adopted,major_city,county,state,population,population_density,land_area_in_sqmi,housing_units,Male_Population,Female_Population,Less_than_high_school,High_School_Graduate,Associates_degree,Bachelors_degree,Masters_degree,Professional_school_degree,Doctorate_degree,Race_white,Race_black_African_American,Race_American_Indian_Alaskan_native,Race_Asian,Race_Native_Hawaiian_Pacific_Islander,Race-Other,Race_Two_or_more
78705,12143,207,106,101,82,15,36,0,74,0.570,0.174,0.396,Austin,Travis County,TX,38891,2794,13.92,20640,19048,19843,892,8389,1484,11325,5109,1497,1299,31364,1210,139,4092,25,1030,1031
78742,19688,79,37,42,30,4,21,1,23,0.646,0.266,0.380,Austin,Travis County,TX,44072,4747,9.28,19577,23014,21058,6267,12480,1690,6744,2167,169,200,25073,4810,467,2911,29,9196,1586
78741,30871,1403,649,754,598,100,264,10,431,0.614,0.188,0.426,Austin,Travis County,TX,21310,4335,4.92,10898,10453,10857,1359,5756,926,5220,2528,514,461,18327,675,150,480,8,1120,550
78721,33798,833,366,467,362,54,143,3,271,0.606,0.172,0.435,Austin,Travis County,TX,7194,4303,1.67,4396,3606,3588,376,1456,251,2218,1293,211,339,6346,184,36,191,3,222,212
78752,34716,647,285,362,296,40,109,7,195,0.626,0.168,0.457,Austin,Travis County,TX,15036,1135,13.25,6492,7464,7572,924,5038,698,2516,902,97,127,7504,3068,113,1808,19,1887,637
78702,36197,1263,613,650,496,88,245,7,427,0.587,0.194,0.393,Austin,Travis County,TX,49301,4495,10.97,19630,25647,23654,9456,14429,1645,4746,1238,167,186,26031,6141,632,3373,24,11166,1934
78719,38305,144,64,80,55,6,29,2,52,0.583,0.201,0.382,Austin,Travis County,TX,18064,5403,3.34,7944,9778,8286,3976,4429,493,2095,807,88,120,10787,2124,334,333,10,3781,695
78724,38479,1214,545,669,520,78,215,7,394,0.605,0.177,0.428,Austin,Travis County,TX,14385,6001,2.4,8375,7766,6619,240,2381,438,3468,1893,277,488,11762,432,70,895,8,730,488
78753,38884,1243,571,672,531,84,224,7,397,0.607,0.180,0.427,Austin,Travis County,TX,26814,2001,13.4,11723,13248,13566,659,6492,1082,6564,2470,801,761,20472,1021,140,3414,18,943,806
78751,39032,288,135,153,118,24,38,1,107,0.542,0.132,0.410,Austin,Travis County,TX,34449,3421,10.07,14857,16863,17586,608,7176,1572,9571,3755,725,633,27894,1129,186,2700,34,1442,1064
78744,41721,2115,971,1144,847,131,380,12,745,0.580,0.180,0.400,Austin,Travis County,TX,40651,3207,12.67,16857,19670,20981,2018,12390,2116,8639,2750,297,217,30993,2105,320,1642,34,4082,1475
78723,42939,1043,492,551,414,75,176,9,369,0.566,0.169,0.397,Austin,Travis County,TX,14808,623,23.78,5491,7345,7463,1556,5071,584,2354,406,133,118,9664,1052,183,351,12,2998,548
78758,43537,1291,560,731,561,84,256,5,385,0.633,0.198,0.435,Austin,Travis County,TX,26928,1197,22.49,11520,13319,13609,170,3210,625,8101,3972,2097,966,23983,214,93,1788,12,309,529
78728,48612,273,142,131,104,18,47,1,103,0.553,0.172,0.381,Austin,Travis County,TX,55614,4166,13.35,25749,27813,27801,5393,18935,2426,10258,3204,587,359,40450,2596,601,1133,32,8730,2072
78602,50376,2,1,1,2,0,0,0,0,1.000,0.000,1.000,Austin,Travis County,TX,42820,2001,21.4,13720,21661,21159,8767,11387,1233,2478,664,201,35,22153,3663,802,401,50,14040,1711
78745,50672,1536,716,820,633,110,274,10,509,0.590,0.178,0.412,Austin,Travis County,TX,820,143,5.74,322,410,410,228,182,8,68,40,0,5,536,30,12,2,6,184,50
78722,50923,196,95,101,86,11,27,0,72,0.577,0.138,0.439,Austin,Travis County,TX,44935,5915,7.6,20500,23969,20966,8387,10832,1107,3866,1351,225,237,24139,4743,550,1831,39,11893,1740
78704,50930,866,370,496,338,51,196,2,279,0.617,0.226,0.390,Austin,Travis County,TX,16792,1469,11.43,5537,8283,8509,101,2454,484,4754,2002,529,353,13983,340,72,1630,12,306,449
78725,52381,355,168,187,131,26,69,0,129,0.563,0.194,0.369,Austin,Travis County,TX,12134,715,16.98,4799,5990,6144,27,1916,490,3865,1552,400,133,10760,151,49,722,1,184,267
78621,52471,8,4,4,4,2,0,0,2,0.500,0.000,0.500,Austin,Hays County,TX,12081,316,38.19,4395,5965,6116,304,2597,546,3463,1447,433,306,10947,141,51,308,19,312,303
78754,54896,415,190,225,176,28,58,3,150,0.564,0.140,0.424,Austin,Travis County,TX,6946,240,28.99,2806,3419,3527,236,1867,270,1803,833,62,86,6080,86,32,247,13,292,196
78757,57429,488,219,269,209,27,92,3,157,0.617,0.189,0.428,Austin,Travis County,TX,16131,785,20.55,7572,7797,8334,643,2763,605,4952,1822,766,437,13526,260,92,926,7,910,410
78653,59763,616,288,328,264,38,113,2,199,0.612,0.183,0.429,Austin,Travis County,TX,17655,881,20.04,8345,8943,8712,761,4984,591,4408,1497,301,242,15787,148,73,291,11,988,357
78756,59854,117,57,60,51,8,21,0,37,0.615,0.179,0.436,Austin,Travis County,TX,8762,765,11.46,3122,4397,4365,128,1364,242,2106,1240,612,326,7444,53,24,824,2,199,216
78729,60690,286,135,151,128,20,46,1,91,0.608,0.161,0.448,Austin,Travis County,TX,14060,1061,13.25,5033,6978,7082,3,1757,434,4010,1914,466,462,11767,239,42,1379,5,239,389
78747,61599,469,199,270,209,26,85,0,149,0.627,0.181,0.446,Austin,Travis County,TX,24614,2865,8.59,12984,12014,12600,295,3570,688,7528,3747,1642,1052,21368,333,67,1928,9,357,552
78748,66309,948,460,488,382,66,163,6,331,0.575,0.172,0.403,Austin,Travis County,TX,7955,553,14.39,3647,3985,3970,57,1103,356,2543,1220,320,279,6996,172,23,486,1,84,193
78759,66828,411,180,231,165,21,75,3,147,0.584,0.182,0.401,Austin,Williamson County,TX,27108,2939,9.23,13284,13427,13681,744,8049,1212,5694,1919,402,158,20603,1836,183,2233,25,1209,1019
78726,67466,63,31,32,18,10,15,1,19,0.524,0.238,0.286,Austin,Travis County,TX,20299,2503,8.11,10240,10015,10284,1147,5940,1370,3850,1475,199,138,12596,2843,137,1976,25,1848,874
78727,69570,395,170,225,153,23,93,4,122,0.623,0.235,0.387,Austin,Travis County,TX,26689,3112,8.58,12984,13304,13385,1046,7241,1212,7164,2317,353,426,18493,2115,168,3661,14,1390,848
78641,71885,50,20,30,19,3,8,0,20,0.540,0.160,0.380,Austin,Travis County,TX,13122,1207,10.87,5910,6492,6630,249,2585,515,2793,1880,218,229,9949,467,58,1704,6,426,512
78645,73601,39,18,21,10,2,12,0,15,0.564,0.308,0.256,Austin,Travis County,TX,6083,346,17.57,1978,2988,3095,1890,2481,120,597,127,0,15,2924,1838,96,55,13,970,187
78731,75269,190,90,100,63,10,51,0,66,0.600,0.268,0.332,Austin,Travis County,TX,21696,889,24.4,6138,11181,10515,4341,5270,683,915,245,18,71,8339,6167,239,100,6,6165,680
78660,76007,385,189,196,158,29,75,0,123,0.605,0.195,0.410,Austin,Travis County,TX,28330,4083,6.94,12398,14569,13761,4418,7673,785,4098,1605,324,315,13892,6979,327,532,19,5472,1109
78750,76236,230,105,125,92,18,36,2,82,0.557,0.157,0.400,Austin,Travis County,TX,5901,3896,1.51,3034,2986,2915,304,1236,189,1978,859,102,197,4288,821,25,169,2,360,236
78610,79049,35,11,24,14,3,7,0,11,0.600,0.200,0.400,Austin,Travis County,TX,11425,3077,3.71,4153,5572,5853,2512,3484,249,783,187,38,19,4303,3976,176,79,4,2545,342
78735,79984,153,65,88,62,10,40,0,41,0.667,0.261,0.405,Austin,Travis County,TX,1764,95,18.65,586,908,856,525,461,20,76,48,0,0,1008,62,31,10,0,611,42
78703,80569,229,103,126,82,17,48,1,81,0.568,0.210,0.358,Austin,Williamson County,TX,22538,1751,12.87,9055,11015,11523,355,4951,1524,5546,2455,295,423,16376,897,91,3803,31,609,731
78749,84907,360,181,179,147,30,77,3,103,0.622,0.214,0.408,Austin,Travis County,TX,6841,4193,1.63,5036,4260,2581,251,904,75,1915,1092,507,282,5480,531,44,409,2,218,157
78736,84940,120,52,68,46,5,28,1,40,0.617,0.233,0.383,Austin,Travis County,TX,31340,14272,2.2,11265,15990,15350,384,1616,242,2165,1014,179,418,22166,980,82,5719,22,1275,1096
78712,86541,16,6,10,6,1,7,0,2,0.813,0.438,0.375,Austin,Travis County,TX,42117,4838,8.7,23575,21261,20856,2025,9089,1546,11110,3834,1584,759,33444,1559,366,786,15,4472,1475
78701,86541,195,90,105,80,11,42,0,62,0.626,0.215,0.410,Austin,Travis County,TX,19690,3529,5.58,10425,9744,9946,109,1932,223,6595,3315,2016,611,17479,259,72,1167,7,307,399
78734,87300,163,75,88,64,10,32,0,57,0.589,0.196,0.393,Austin,Travis County,TX,21334,4268,5,9032,10887,10447,4304,5391,323,3205,1002,178,174,11323,3715,334,228,5,4985,744
78681,92453,22,8,14,11,2,6,0,3,0.773,0.273,0.500,Austin,Travis County,TX,6841,4193,1.63,5036,4260,2581,251,904,75,1915,1092,507,282,5480,531,44,409,2,218,157
